Name,A,B,CDHSi,G,D,CDHSs,CDHS,Cls
Kepler-365 b,0.9,0.1,1.9516,0.1,0.9,1.7459,1.9495,non-habitable
Kepler-365 c,0.9,0.1,1.5744,0.1,0.9,1.4596,1.5733,non-habitable
Kepler-366 b,0.9,0.1,1.4086,0.1,0.9,2.3872,1.4184,non-habitable
Kepler-366 c,0.9,0.1,1.7155,0.1,0.9,1.6722,1.7151,non-habitable
Kepler-367 b,0.9,0.1,1.2612,0.1,0.9,0.8196,1.2568,non-habitable
Kepler-367 c,0.8,0.2,1.1404,0.1,0.9,0.7362,1.1364,non-habitable
Kepler-369 b,0.9,0.1,1.1058,0.2,0.8,0.6363,1.1011,non-habitable
Kepler-369 c,0.9,0.1,1.3624,0.1,0.9,0.7763,1.3565,non-habitable
Kepler-370 b,0.9,0.1,1.5283,0.1,0.9,1.9837,1.5329,non-habitable
Kepler-370 c,0.9,0.1,1.8192,0.1,0.9,1.3574,1.8146,non-habitable
Kepler-371 b,0.8,0.2,1.7316,0.1,0.9,1.1824,1.7261,non-habitable
Kepler-371 c,0.9,0.1,1.7054,0.1,0.9,0.9722,1.6981,non-habitable
Kepler-372 b,0.9,0.1,1.3162,0.1,0.9,2.0425,1.3235,non-habitable
Kepler-372 c,0.9,0.1,1.9905,0.1,0.9,1.6013,1.9866,non-habitable
Kepler-372 d,0.9,0.1,1.6219,0.1,0.9,1.3815,1.6195,non-habitable
Kepler-373 b,0.7,0.3,1.2327,0.1,0.9,1.7797,1.2382,non-habitable
Kepler-373 c,0.9,0.1,1.2061,0.1,0.9,1.2785,1.2068,non-habitable
Kepler-374 b,0.9,0.1,1.0139,0.1,0.9,2.5104,1.0289,non-habitable
Kepler-374 c,0.9,0.1,1.0781,0.1,0.9,2.1525,1.0888,non-habitable
Kepler-374 d,0.9,0.1,1.2699,0.3,0.7,0.5042,1.2622,non-habitable
Kepler-375 b,0.9,0.1,1.3898,0.1,0.9,1.4436,1.3903,non-habitable
Kepler-376 b,0.9,0.1,1.0416,0.1,0.9,2.0772,1.052,non-habitable
Kepler-376 c,0.9,0.1,1.7155,0.1,0.9,1.6509,1.7149,non-habitable
Kepler-377 b,0.9,0.1,1.3436,0.1,0.9,1.6602,1.3468,non-habitable
Kepler-377 c,0.9,0.1,1.9718,0.1,0.9,1.42,1.9663,non-habitable
Kepler-378 b,0.2,0.8,0.7976,0.1,0.9,0.9461,0.7991,non-habitable
Kepler-378 c,0.1,0.9,0.7794,0.2,0.8,0.411,0.7757,non-habitable
Kepler-379 b,0.9,0.1,1.5931,0.1,0.9,1.5469,1.5926,non-habitable
Kepler-379 c,0.9,0.1,2.1865,0.1,0.9,1.1873,2.1765,non-habitable
Kepler-380 b,0.9,0.1,1.1598,0.1,0.9,2.3133,1.1713,non-habitable
Kepler-380 c,0.8,0.2,1.1984,0.1,0.9,1.921,1.2056,non-habitable
Kepler-381 b,0.9,0.1,0.9762,0.2,0.8,1.0938,0.9774,non-habitable
Kepler-381 c,0.9,0.1,1.0958,0.1,0.9,1.7947,1.1028,non-habitable
Kepler-382 b,0.9,0.1,1.28,0.1,0.9,1.8795,1.286,non-habitable
Kepler-382 c,0.8,0.2,1.4689,0.1,0.9,1.5122,1.4693,non-habitable
Kepler-383 b,0.9,0.1,1.28,0.1,0.9,1.109,1.2783,non-habitable
Kepler-383 c,0.8,0.2,1.1732,0.1,0.9,0.8579,1.17,non-habitable
Kepler-384 b,0.9,0.1,1.0958,0.1,0.9,1.1618,1.0965,non-habitable
Kepler-384 c,0.9,0.1,1.1058,0.1,0.9,0.956,1.1043,non-habitable
Kepler-386 b,0.8,0.2,1.2988,0.1,0.9,1.278,1.2986,non-habitable
Kepler-386 c,0.9,0.1,1.5196,0.1,0.9,1.0658,1.5151,non-habitable
Kepler-387 b,0.9,0.1,1.0139,0.1,0.9,1.7854,1.0216,non-habitable
Kepler-387 c,0.9,0.1,0.8759,0.1,0.9,1.4942,0.8821,non-habitable
Kepler-388 b,0.1,0.9,0.819,0.1,0.9,1.4294,0.8251,non-habitable
Kepler-388 c,0.9,0.1,0.857,0.1,0.9,0.9599,0.858,non-habitable
Kepler-389 b,0.9,0.1,1.4547,0.1,0.9,1.9476,1.4596,non-habitable
Kepler-389 c,0.9,0.1,1.4086,0.1,0.9,1.2683,1.4072,non-habitable
Kepler-390 b,0.5,0.5,0.82,0.1,0.9,1.4106,0.8259,non-habitable
Kepler-390 c,0.2,0.8,0.8039,0.1,0.9,1.1605,0.8075,non-habitable
Kepler-392 b,0.9,0.1,0.9862,0.1,0.9,2.0031,0.9964,non-habitable
Kepler-392 c,0.8,0.2,1.0567,0.1,0.9,1.6633,1.0628,non-habitable
Kepler-393 b,0.8,0.2,1.216,0.1,0.9,1.9399,1.2232,non-habitable
Kepler-393 c,0.9,0.1,1.2887,0.1,0.9,1.7037,1.2928,non-habitable
Kepler-394 b,0.9,0.1,1.5383,0.1,0.9,1.9655,1.5426,non-habitable
Kepler-394 c,0.9,0.1,1.5931,0.1,0.9,1.7498,1.5947,non-habitable
Kepler-395 b,0.9,0.1,1.0139,0.1,0.9,1.0985,1.0147,non-habitable
Kepler-395 c,0.9,0.1,1.28,0.1,0.9,0.7329,1.2745,non-habitable
Kepler-396 b,0.9,0.1,3.2253,0.1,0.9,0.9935,3.203,non-habitable
Kepler-397 b,0.9,0.1,2.3579,0.1,0.9,1.2166,2.3465,non-habitable
Kepler-398 b,0.9,0.1,0.9217,0.1,0.9,1.3539,0.926,non-habitable
Kepler-398 c,0.9,0.1,0.995,0.1,0.9,1.0221,0.9953,non-habitable
Kepler-399 b,0.9,0.1,0.9495,0.1,0.9,1.1761,0.9518,non-habitable
Kepler-399 c,0.9,0.1,1.3811,0.1,0.9,1.0483,1.3778,non-habitable
Kepler-399 d,0.9,0.1,1.8091,0.1,0.9,0.8866,1.7999,non-habitable
Kepler-400 b,0.9,0.1,1.5844,0.1,0.9,1.812,1.5867,non-habitable
Kepler-400 c,0.9,0.1,1.436,0.2,0.8,0.7919,1.4296,non-habitable
Kepler-401 b,0.9,0.1,1.6406,0.1,0.9,1.735,1.6415,non-habitable
Kepler-401 c,0.9,0.1,2.0582,0.1,0.9,1.2899,2.0505,non-habitable
Kepler-402 b,0.9,0.1,1.1873,0.1,0.9,2.35,1.1989,non-habitable
Kepler-402 c,0.9,0.1,1.5009,0.1,0.9,2.143,1.5073,non-habitable
Kepler-402 d,0.9,0.1,1.3349,0.3,0.7,0.5005,1.3266,non-habitable
Kepler-402 e,0.9,0.1,1.4086,0.1,0.9,1.7803,1.4123,non-habitable
Kepler-403 b,0.8,0.2,1.1807,0.2,0.8,1.022,1.1791,non-habitable
Kepler-403 c,0.9,0.1,1.6766,0.1,0.9,1.1884,1.6717,non-habitable
Kepler-404 b,0.9,0.1,1.2337,0.2,0.8,0.7366,1.2287,non-habitable
Kepler-404 c,0.9,0.1,1.6406,0.1,0.9,1.3795,1.638,non-habitable
Kepler-405 b,0.8,0.2,1.9049,0.3,0.7,0.5,1.8909,non-habitable
Kepler-406 b,0.1,0.9,2.0727,0.1,0.9,2.496,2.0769,non-habitable
Kepler-406 c,0.1,0.9,3.7329,0.1,0.9,2.0356,3.7159,non-habitable
Kepler-408 b,0.1,0.9,8.9208,0.1,0.9,2.9294,8.8609,non-habitable
Kepler-409 b,0.1,0.9,10.3416,0.1,0.9,1.0004,10.2482,non-habitable
Kepler-411 b,0.9,0.1,1.8004,0.1,0.9,1.9461,1.8019,non-habitable
Kepler-413(AB) b,0.9,0.1,3.6739,0.1,0.9,0.7901,3.6451,non-habitable
Kepler-431 b,0.1,0.9,0.8049,0.1,0.9,1.768,0.8145,non-habitable
Kepler-431 c,0.1,0.9,0.7771,0.1,0.9,1.6171,0.7855,non-habitable
Kepler-431 d,0.9,0.1,1.087,0.1,0.9,1.5751,1.0919,non-habitable
Kepler-436 c,0.9,0.1,2.2355,0.1,0.9,1.1359,2.2245,non-habitable
Kepler-437 b,0.9,0.1,2.0481,0.1,0.9,0.7472,2.0351,non-habitable
Kepler-438 b,0.9,0.1,1.0958,0.1,0.9,0.6111,1.091,mesoplanet
Kepler-439 b,0.9,0.1,2.1461,0.1,0.9,0.7359,2.132,non-habitable
Kepler-440 b,0.8,0.2,1.7039,0.1,0.9,0.6628,1.6935,mesoplanet
Kepler-441 b,0.9,0.1,1.5744,0.2,0.8,0.2838,1.5615,non-habitable
Kepler-442 b,0.9,0.1,1.2974,0.1,0.9,0.5515,1.2899,psychroplanet
Kepler-443 b,0.9,0.1,2.2355,0.1,0.9,0.6462,2.2196,mesoplanet
Kepler-444 b,0.1,0.9,0.6839,0.1,0.9,1.5055,0.6921,non-habitable
Kepler-444 c,0.1,0.9,0.7187,0.2,0.8,0.6711,0.7182,non-habitable
