Name,A,B,CDHSi,G,D,CDHSs,CDHS,Cls
Kepler-822 b,0.8,0.1,1.6026,0.1,0.8,2.0763,1.6073,non-habitable
Kepler-823 b,0.8,0.1,1.4429,0.1,0.8,1.7744,1.4462,non-habitable
Kepler-824 b,0.8,0.1,1.6817,0.1,0.8,2.0196,1.6851,non-habitable
Kepler-825 b,0.8,0.1,1.4034,0.1,0.8,1.9707,1.4091,non-habitable
Kepler-825 c,0.8,0.1,1.6573,0.1,0.8,1.66,1.6573,non-habitable
Kepler-826 b,0.8,0.1,1.1881,0.1,0.8,1.9004,1.1952,non-habitable
Kepler-828 b,0.8,0.1,1.396,0.1,0.8,2.5481,1.4075,non-habitable
Kepler-829 b,0.8,0.1,1.874,0.1,0.8,1.6533,1.8718,non-habitable
Kepler-830 b,0.8,0.1,1.5463,0.1,0.8,1.5314,1.5462,non-habitable
Kepler-831 b,0.7,0.1,1.1761,0.1,0.8,1.6175,1.1805,non-habitable
Kepler-832 b,0.8,0.1,1.8343,0.1,0.8,1.5763,1.8317,non-habitable
Kepler-833 b,0.8,0.1,1.8017,0.1,0.8,0.9313,1.793,non-habitable
Kepler-834 b,0.8,0.1,1.8017,0.1,0.8,1.0612,1.7943,non-habitable
Kepler-842 b,0.8,0.1,1.4677,0.1,0.8,2.0115,1.4731,non-habitable
Kepler-844 b,0.8,0.1,1.5303,0.1,0.8,1.3887,1.5289,non-habitable
Kepler-845 b,0.8,0.1,1.8173,0.1,0.8,2.2837,1.822,non-habitable
Kepler-846 b,0.8,0.1,2.1795,0.1,0.8,1.2636,2.1703,non-habitable
Kepler-847 b,0.8,0.1,1.1321,0.1,0.7,1.4648,1.1354,non-habitable
Kepler-848 b,0.8,0.1,1.5463,0.1,0.8,1.7234,1.5481,non-habitable
Kepler-850 b,0.8,0.1,1.6098,0.1,0.8,1.698,1.6107,non-habitable
Kepler-851 b,0.8,0.1,1.5303,0.1,0.8,1.4062,1.5291,non-habitable
Kepler-853 b,0.8,0.1,1.539,0.1,0.8,1.9829,1.5434,non-habitable
Kepler-861 b,0.8,0.1,2.0051,0.1,0.8,1.6564,2.0016,non-habitable
Kepler-862 b,0.8,0.1,1.9559,0.1,0.8,1.8554,1.9549,non-habitable
Kepler-864 b,0.8,0.1,2.1128,0.1,0.8,1.7949,2.1096,non-habitable
Kepler-865 b,0.8,0.1,2.1891,0.1,0.8,1.3803,2.181,non-habitable
Kepler-866 b,0.8,0.1,1.4837,0.1,0.8,1.6215,1.4851,non-habitable
Kepler-868 b,0.8,0.1,1.8258,0.1,0.8,1.7166,1.8247,non-habitable
Kepler-872 b,0.8,0.1,1.7775,0.1,0.8,2.2362,1.7821,non-habitable
Kepler-876 b,0.8,0.1,1.3326,0.1,0.8,1.4366,1.3336,non-habitable
Kepler-877 b,0.8,0.1,1.8825,0.1,0.8,1.1577,1.8753,non-habitable
Kepler-878 b,0.8,0.1,1.729,0.1,0.8,1.0019,1.7217,non-habitable
Kepler-881 b,0.8,0.1,1.6098,0.1,0.8,1.9285,1.613,non-habitable
Kepler-882 b,0.8,0.1,1.1728,0.1,0.8,1.6494,1.1776,non-habitable
Kepler-883 b,0.8,0.1,1.6098,0.1,0.8,1.4953,1.6087,non-habitable
Kepler-884 b,0.8,0.1,1.1728,0.1,0.8,1.5808,1.1769,non-habitable
Kepler-885 b,0.8,0.1,2.1974,0.1,0.8,1.571,2.1911,non-habitable
Kepler-886 b,0.8,0.1,1.4034,0.1,0.7,1.5609,1.405,non-habitable
Kepler-887 b,0.8,0.1,1.6573,0.1,0.8,1.4206,1.6549,non-habitable
Kepler-887 c,0.8,0.1,1.0924,0.1,0.8,1.7058,1.0985,non-habitable
Kepler-888 b,0.8,0.1,1.594,0.1,0.8,0.8943,1.587,non-habitable
Kepler-889 b,0.8,0.1,1.059,0.1,0.8,1.9684,1.0681,non-habitable
Kepler-895 b,0.8,0.1,1.4121,0.1,0.8,1.4102,1.4121,non-habitable
Kepler-897 b,0.8,0.1,2.1044,0.1,0.8,1.6903,2.1003,non-habitable
Kepler-898 b,0.8,0.1,1.3799,0.1,0.8,1.1533,1.3776,non-habitable
Kepler-900 b,0.8,0.1,1.85,0.1,0.8,1.3413,1.8449,non-habitable
Kepler-901 b,0.8,0.1,1.2838,0.1,0.8,1.2617,1.2836,non-habitable
Kepler-903 b,0.8,0.1,1.786,0.1,0.8,1.4752,1.7829,non-habitable
Kepler-904 b,0.8,0.1,1.6026,0.1,0.8,2.2753,1.6093,non-habitable
Kepler-905 b,0.8,0.1,1.3164,0.1,0.8,1.5584,1.3188,non-habitable
Kepler-906 b,0.8,0.1,1.874,0.1,0.6,0.9598,1.8649,non-habitable
Kepler-907 b,0.8,0.1,1.1487,0.1,0.8,1.4626,1.1518,non-habitable
Kepler-908 b,0.8,0.1,1.164,0.1,0.7,2.0912,1.1733,non-habitable
Kepler-909 b,0.7,0.1,1.3121,0.1,0.8,1.482,1.3138,non-habitable
Kepler-910 b,0.1,0.1,0.9611,0.1,0.8,2.351,0.975,non-habitable
Kepler-913 b,0.8,0.1,1.8343,0.1,0.8,1.1407,1.8274,non-habitable
Kepler-914 b,0.8,0.1,1.2926,0.1,0.8,1.8719,1.2984,non-habitable
Kepler-915 b,0.8,0.1,1.3873,0.1,0.8,2.0642,1.3941,non-habitable
Kepler-916 b,0.8,0.1,1.594,0.1,0.8,0.9746,1.5878,non-habitable
Kepler-917 b,0.8,0.1,1.7061,0.1,0.8,1.8116,1.7072,non-habitable
Kepler-918 b,0.8,0.1,1.5781,0.1,0.7,1.658,1.5789,non-habitable
Kepler-919 b,0.8,0.1,1.9883,0.1,0.8,1.6684,1.9851,non-habitable
Kepler-920 b,0.8,0.1,2.1295,0.1,0.8,1.5895,2.1241,non-habitable
Kepler-922 b,0.7,0.1,1.2782,0.1,0.6,1.7738,1.2832,non-habitable
Kepler-923 b,0.8,0.1,1.2926,0.1,0.8,1.7487,1.2972,non-habitable
Kepler-925 b,0.8,0.1,2.0626,0.1,0.8,0.9065,2.051,non-habitable
Kepler-926 b,0.8,0.1,2.0374,0.1,0.8,1.0424,2.0274,non-habitable
Kepler-927 b,0.8,0.1,1.5549,0.1,0.8,1.5071,1.5544,non-habitable
Kepler-928 b,0.8,0.1,1.459,0.1,0.8,1.4426,1.4588,non-habitable
Kepler-929 b,0.7,0.1,1.0645,0.1,0.8,2.6365,1.0802,non-habitable
Kepler-930 b,0.8,0.1,1.891,0.1,0.8,1.1116,1.8832,non-habitable
Kepler-931 b,0.8,0.1,1.2524,0.1,0.8,1.3187,1.2531,non-habitable
Kepler-932 b,0.7,0.1,1.244,0.1,0.8,1.9602,1.2512,non-habitable
Kepler-933 b,0.8,0.1,2.1558,0.1,0.8,1.3003,2.1472,non-habitable
Kepler-934 b,0.8,0.1,1.85,0.1,0.8,0.8401,1.8399,non-habitable
Kepler-935 b,0.8,0.1,1.26,0.1,0.8,1.3712,1.2611,non-habitable
Kepler-936 b,0.8,0.1,1.3401,0.1,0.8,1.3236,1.3399,non-habitable
Kepler-938 b,0.8,0.1,1.9644,0.1,0.7,0.9118,1.9539,non-habitable
Kepler-939 b,0.8,0.1,1.5853,0.1,0.8,1.2335,1.5818,non-habitable
Kepler-942 b,0.7,0.2,1.8107,0.1,0.8,0.8619,1.8012,non-habitable
Kepler-946 b,0.8,0.1,1.729,0.1,0.8,1.3997,1.7257,non-habitable
Kepler-947 b,0.8,0.1,2.0051,0.1,0.8,1.1274,1.9963,non-habitable
Kepler-948 b,0.8,0.1,1.6659,0.1,0.8,1.5497,1.6647,non-habitable
Kepler-953 c,0.8,0.1,1.1398,0.1,0.8,1.3745,1.1421,non-habitable
Kepler-954 b,0.8,0.1,2.0458,0.1,0.8,1.1379,2.0367,non-habitable
Kepler-958 b,0.8,0.1,1.8343,0.1,0.8,1.3995,1.83,non-habitable
Kepler-960 b,0.7,0.2,1.931,0.1,0.8,1.6438,1.9281,non-habitable
Kepler-962 b,0.8,0.1,1.7618,0.1,0.8,1.3243,1.7574,non-habitable
Kepler-964 b,0.8,0.1,1.8825,0.1,0.8,1.2828,1.8765,non-habitable
Kepler-967 b,0.8,0.1,2.0723,0.1,0.8,1.2635,2.0642,non-habitable
Kepler-968 b,0.8,0.1,1.7775,0.1,0.8,1.4862,1.7746,non-habitable
Kepler-968 c,0.8,0.1,1.539,0.1,0.8,1.2966,1.5366,non-habitable
Kepler-969 b,0.8,0.1,1.8428,0.1,0.8,0.9796,1.8342,non-habitable
Kepler-969 c,0.1,0.1,0.984,0.1,0.8,1.8809,0.993,non-habitable
Kepler-971 b,0.8,0.1,1.891,0.1,0.8,1.4161,1.8863,non-habitable
Kepler-973 b,0.8,0.1,1.7532,0.1,0.8,0.8773,1.7444,non-habitable
Kepler-974 b,0.8,0.1,1.4429,0.1,0.8,1.0838,1.4393,non-habitable
Kepler-975 b,0.8,0.1,1.3711,0.1,0.8,1.7845,1.3752,non-habitable
Kepler-981 b,0.8,0.1,2.0374,0.1,0.8,1.8735,2.0358,non-habitable
Kepler-982 b,0.8,0.1,1.9883,0.1,0.8,1.5653,1.9841,non-habitable
Kepler-983 b,0.8,0.1,2.0806,0.1,0.8,1.0541,2.0703,non-habitable
Kepler-984 b,0.8,0.1,1.8825,0.1,0.8,1.0221,1.8739,non-habitable
Kepler-986 b,0.8,0.1,2.0806,0.1,0.8,1.0014,2.0698,non-habitable
Kepler-988 b,0.8,0.1,1.8428,0.1,0.8,0.8614,1.833,non-habitable
Kepler-989 b,0.8,0.1,1.9559,0.1,0.8,1.3858,1.9502,non-habitable
Kepler-990 c,0.8,0.1,1.4034,0.1,0.8,3.2532,1.4219,non-habitable
Kepler-992 b,0.8,0.1,1.4837,0.1,0.7,0.9435,1.4783,non-habitable
Kepler-994 b,0.8,0.1,1.4677,0.1,0.8,1.6143,1.4692,non-habitable
Kepler-996 b,0.8,0.1,1.7703,0.1,0.8,2.0885,1.7735,non-habitable
Kepler-997 b,0.8,0.1,1.2763,0.1,0.8,2.4397,1.2879,non-habitable
Kepler-998 b,0.8,0.1,2.0458,0.1,0.8,1.9639,2.045,non-habitable
Kepler-999 b,0.8,0.1,2.0626,0.1,0.8,2.2147,2.0641,non-habitable
Kepler-1002 b,0.8,0.1,1.5549,0.1,0.8,2.2342,1.5617,non-habitable
Kepler-1003 b,0.8,0.1,1.6098,0.1,0.8,2.1272,1.615,non-habitable
Kepler-1005 b,0.8,0.1,1.3873,0.1,0.8,1.6608,1.39,non-habitable
Kepler-1006 b,0.8,0.1,1.4121,0.1,0.8,1.0638,1.4086,non-habitable
Kepler-1007 b,0.8,0.1,1.3326,0.1,0.8,1.3,1.3323,non-habitable
Kepler-1008 b,0.8,0.1,1.2121,0.1,0.8,1.1367,1.2113,non-habitable
Kepler-1009 b,0.8,0.1,1.9235,0.1,0.8,0.9898,1.9142,non-habitable
Kepler-1010 b,0.8,0.1,2.0458,0.1,0.8,1.0147,2.0355,non-habitable
Kepler-1012 b,0.8,0.1,1.221,0.1,0.8,1.5613,1.2244,non-habitable
Kepler-1013 b,0.8,0.1,1.9066,0.1,0.8,1.0844,1.8984,non-habitable
Kepler-1014 b,0.8,0.1,2.1044,0.1,0.8,1.25,2.0959,non-habitable
Kepler-1016 b,0.8,0.1,1.9235,0.1,0.8,2.3577,1.9278,non-habitable
Kepler-1017 b,0.8,0.1,1.7775,0.1,0.8,1.5148,1.7749,non-habitable
Kepler-1019 b,0.8,0.1,1.3563,0.1,0.8,1.7497,1.3602,non-habitable
Kepler-1020 b,0.8,0.1,2.0051,0.1,0.8,0.7787,1.9928,non-habitable
Kepler-1021 b,0.8,0.1,2.0542,0.1,0.8,1.3265,2.0469,non-habitable
Kepler-1022 b,0.8,0.1,2.0806,0.1,0.8,1.1371,2.0712,non-habitable
Kepler-1025 b,0.8,0.1,1.7703,0.1,0.8,1.1753,1.7644,non-habitable
Kepler-1026 b,0.8,0.1,1.9559,0.1,0.8,0.9267,1.9456,non-habitable
Kepler-1027 b,0.2,0.1,0.9579,0.1,0.8,1.8578,0.9669,non-habitable
Kepler-1028 b,0.8,0.1,1.2524,0.1,0.8,1.8902,1.2588,non-habitable
Kepler-1029 b,0.8,0.1,1.1881,0.1,0.8,1.4573,1.1908,non-habitable
Kepler-1030 b,0.8,0.1,2.1795,0.1,0.8,1.1166,2.1689,non-habitable
Kepler-1031 b,0.1,0.1,0.9691,0.1,0.8,2.4875,0.9843,non-habitable
Kepler-1032 b,0.8,0.1,1.6817,0.1,0.8,1.5323,1.6802,non-habitable
Kepler-1034 b,0.8,0.1,1.9967,0.1,0.8,1.2871,1.9896,non-habitable
Kepler-1035 b,0.8,0.1,1.1167,0.1,0.8,1.9412,1.1249,non-habitable
Kepler-1037 b,0.8,0.1,1.2121,0.1,0.7,1.8217,1.2182,non-habitable
Kepler-1039 b,0.8,0.1,1.3563,0.1,0.8,2.1419,1.3642,non-habitable
Kepler-1040 b,0.8,0.1,1.85,0.1,0.8,0.7197,1.8387,non-habitable
Kepler-1042 b,0.8,0.1,1.9319,0.1,0.8,1.2292,1.9249,non-habitable
Kepler-1046 b,0.8,0.1,1.5549,0.1,0.8,1.39,1.5533,non-habitable
Kepler-1047 b,0.8,0.1,1.85,0.1,0.8,1.0293,1.8418,non-habitable
Kepler-1047 c,0.1,0.1,0.984,0.1,0.8,1.9092,0.9933,non-habitable
Kepler-1048 b,0.8,0.1,1.475,0.1,0.8,1.2389,1.4726,non-habitable
Kepler-1049 b,0.1,0.1,0.98,0.1,0.8,1.1071,0.9813,non-habitable
Kepler-1050 b,0.7,0.2,1.4111,0.1,0.8,1.4044,1.411,non-habitable
Kepler-1050 c,0.8,0.1,1.3711,0.1,0.8,1.2811,1.3702,non-habitable
Kepler-1053 b,0.1,0.1,0.982,0.1,0.8,1.4737,0.9869,non-habitable
Kepler-1055 b,0.8,0.1,1.1728,0.1,0.8,2.0072,1.1811,non-habitable
Kepler-1059 b,0.8,0.1,1.5622,0.1,0.8,1.5372,1.562,non-habitable
Kepler-1060 b,0.8,0.1,2.089,0.1,0.8,1.0692,2.0788,non-habitable
Kepler-1061 b,0.8,0.1,1.7703,0.1,0.8,2.2241,1.7748,non-habitable
Kepler-1062 b,0.8,0.1,1.594,0.1,0.8,1.1561,1.5896,non-habitable
Kepler-1063 b,0.8,0.1,1.3799,0.1,0.6,1.1372,1.3775,non-habitable
Kepler-1064 b,0.8,0.1,1.4269,0.1,0.8,1.1011,1.4236,non-habitable
Kepler-1065 c,0.8,0.1,1.4677,0.1,0.7,1.7504,1.4705,non-habitable
Kepler-1066 b,0.8,0.1,2.0806,0.1,0.8,2.3666,2.0835,non-habitable
Kepler-1067 b,0.1,0.1,0.9587,0.1,0.8,2.4913,0.974,non-habitable
Kepler-1069 b,0.8,0.1,1.4677,0.1,0.7,1.0688,1.4637,non-habitable
Kepler-1070 b,0.8,0.1,1.5622,0.1,0.8,1.9354,1.5659,non-habitable
Kepler-1071 b,0.8,0.1,2.089,0.1,0.8,1.5418,2.0835,non-habitable
Kepler-1072 b,0.8,0.1,1.4517,0.1,0.8,2.7129,1.4643,non-habitable
Kepler-1073 b,0.8,0.1,2.029,0.1,0.8,1.6174,2.0249,non-habitable
Kepler-1073 c,0.8,0.1,1.4984,0.1,0.8,1.8618,1.502,non-habitable
Kepler-1074 b,0.8,0.1,1.1881,0.1,0.8,1.054,1.1868,non-habitable
Kepler-1075 b,0.8,0.1,1.3238,0.1,0.8,1.4839,1.3254,non-habitable
Kepler-1076 b,0.1,0.1,0.9587,0.1,0.8,1.2174,0.9613,non-habitable
Kepler-1078 b,0.8,0.1,1.7061,0.1,0.8,1.9563,1.7086,non-habitable
Kepler-1079 b,0.8,0.1,1.4837,0.1,0.8,1.5203,1.4841,non-habitable
Kepler-1081 b,0.8,0.1,0.9941,0.1,0.7,1.3846,0.998,non-habitable
Kepler-1082 b,0.8,0.1,1.0834,0.1,0.7,2.0199,1.0928,non-habitable
Kepler-1084 b,0.8,0.1,1.0757,0.1,0.8,2.3803,1.0887,non-habitable
Kepler-1086 b,0.8,0.1,2.1474,0.1,0.8,0.9808,2.1357,non-habitable
Kepler-1087 b,0.1,0.1,0.9269,0.1,0.8,2.4784,0.9424,non-habitable
Kepler-1088 b,0.8,0.1,1.3238,0.1,0.8,1.2192,1.3228,non-habitable
Kepler-1089 b,0.8,0.1,1.6501,0.1,0.7,0.9908,1.6435,non-habitable
Kepler-1090 b,0.8,0.1,1.9883,0.1,0.8,0.6737,1.9752,mesoplanet
Kepler-1091 b,0.8,0.1,1.3563,0.1,0.8,2.4364,1.3671,non-habitable
Kepler-1092 b,0.8,0.1,1.8428,0.1,0.8,0.9972,1.8343,non-habitable
Kepler-1093 b,0.8,0.1,1.7461,0.1,0.8,1.3297,1.7419,non-habitable
Kepler-1093 c,0.8,0.1,1.7532,0.1,0.8,0.9711,1.7454,non-habitable
Kepler-1095 b,0.8,0.1,1.1563,0.1,0.7,1.4742,1.1595,non-habitable
Kepler-1096 b,0.8,0.1,1.1805,0.1,0.8,1.3707,1.1824,non-habitable
Kepler-1098 b,0.8,0.1,1.2285,0.1,0.8,2.0252,1.2365,non-habitable
Kepler-1100 b,0.8,0.1,1.5853,0.1,0.8,1.9307,1.5888,non-habitable
Kepler-1101 b,0.8,0.1,2.1641,0.1,0.8,0.901,2.1515,non-habitable
Kepler-1103 b,0.8,0.1,2.0051,0.1,0.7,1.2811,1.9979,non-habitable
Kepler-1104 b,0.8,0.1,1.1728,0.1,0.8,2.0198,1.1813,non-habitable
Kepler-1105 b,0.8,0.1,1.786,0.1,0.8,1.348,1.7816,non-habitable
Kepler-1106 b,0.8,0.1,1.507,0.1,0.8,2.7546,1.5195,non-habitable
Kepler-1107 b,0.8,0.1,1.26,0.1,0.8,2.6379,1.2738,non-habitable
Kepler-1108 b,0.8,0.1,1.3563,0.1,0.8,1.6026,1.3588,non-habitable
Kepler-1109 b,0.7,0.2,1.8509,0.1,0.8,1.1429,1.8438,non-habitable
Kepler-1111 b,0.8,0.1,1.7775,0.1,0.8,1.6997,1.7767,non-habitable
Kepler-1114 b,0.8,0.1,1.26,0.1,0.7,1.064,1.258,non-habitable
Kepler-1115 b,0.7,0.2,1.4831,0.1,0.8,1.8551,1.4868,non-habitable
Kepler-1117 b,0.8,0.1,1.0757,0.1,0.8,1.6119,1.0811,non-habitable
Kepler-1119 b,0.8,0.1,1.7218,0.1,0.8,1.723,1.7218,non-habitable
Kepler-1120 b,0.8,0.1,1.2926,0.1,0.8,1.5915,1.2956,non-habitable
Kepler-1121 b,0.8,0.1,1.7061,0.1,0.8,1.7213,1.7063,non-habitable
Kepler-1122 b,0.8,0.1,1.8173,0.1,0.8,1.0001,1.8091,non-habitable
Kepler-1123 b,0.8,0.1,1.523,0.1,0.8,1.7062,1.5248,non-habitable
Kepler-1124 b,0.8,0.1,1.2121,0.1,0.8,1.0462,1.2104,non-habitable
Kepler-1125 b,0.8,0.1,1.6573,0.1,0.8,1.2602,1.6533,non-habitable
Kepler-1126 b,0.8,0.1,1.5622,0.1,0.8,0.8108,1.5547,non-habitable
Kepler-1127 b,0.8,0.1,1.7532,0.1,0.8,1.7409,1.7531,non-habitable
Kepler-1130 b,0.1,0.1,0.9587,0.1,0.7,1.2343,0.9615,non-habitable
Kepler-1131 b,0.8,0.1,1.459,0.1,0.7,1.6857,1.4613,non-habitable
Kepler-1132 b,0.8,0.1,2.0723,0.1,0.8,0.8881,2.0605,non-habitable
Kepler-1133 b,0.7,0.2,1.6861,0.1,0.8,1.3786,1.683,non-habitable
Kepler-1135 b,0.8,0.1,1.6659,0.1,0.8,0.8742,1.658,non-habitable
Kepler-1136 b,0.8,0.1,1.4984,0.1,0.8,1.584,1.4993,non-habitable
Kepler-1137 b,0.8,0.1,1.9475,0.1,0.8,1.6802,1.9448,non-habitable
Kepler-1138 b,0.8,0.1,1.5463,0.1,0.8,1.8861,1.5497,non-habitable
Kepler-1139 b,0.7,0.1,1.1201,0.1,0.8,2.538,1.1343,non-habitable
Kepler-1141 b,0.1,0.1,0.9611,0.1,0.8,2.0058,0.9715,non-habitable
Kepler-1142 b,0.8,0.1,1.3637,0.1,0.8,1.2133,1.3622,non-habitable
Kepler-1143 b,0.8,0.1,1.523,0.1,0.7,1.4933,1.5227,non-habitable
Kepler-1144 b,0.8,0.1,1.7775,0.1,0.8,1.3052,1.7728,non-habitable
Kepler-1145 b,0.8,0.1,1.3076,0.1,0.8,1.5205,1.3097,non-habitable
Kepler-1146 b,0.8,0.1,1.1728,0.1,0.8,1.5814,1.1769,non-habitable
Kepler-1148 b,0.8,0.1,1.539,0.1,0.8,2.1834,1.5454,non-habitable
Kepler-1149 b,0.8,0.1,1.3326,0.1,0.8,1.876,1.338,non-habitable
Kepler-1150 b,0.8,0.1,1.0019,0.1,0.8,1.5028,1.0069,non-habitable
Kepler-1151 b,0.8,0.1,1.9644,0.1,0.8,0.8947,1.9537,non-habitable
Kepler-1152 b,0.2,0.1,0.9557,0.1,0.7,1.215,0.9583,non-habitable
Kepler-1153 b,0.8,0.1,1.5622,0.1,0.8,2.1427,1.568,non-habitable
Kepler-1154 b,0.8,0.1,2.0626,0.1,0.8,2.206,2.064,non-habitable
Kepler-1154 c,0.8,0.1,2.0806,0.1,0.8,1.9495,2.0793,non-habitable
Kepler-1155 b,0.8,0.1,1.8102,0.1,0.8,1.1439,1.8035,non-habitable
Kepler-1156 b,0.8,0.1,1.2449,0.1,0.8,1.3656,1.2461,non-habitable
Kepler-1157 b,0.8,0.1,1.059,0.1,0.8,1.3209,1.0616,non-habitable
Kepler-1158 b,0.8,0.1,2.0626,0.1,0.7,1.6456,2.0584,non-habitable
Kepler-1159 b,0.8,0.1,2.0806,0.1,0.8,1.4467,2.0743,non-habitable
Kepler-1160 b,0.8,0.1,1.8981,0.1,0.8,1.5211,1.8943,non-habitable
Kepler-1161 b,0.8,0.1,1.891,0.1,0.8,1.0405,1.8825,non-habitable
Kepler-1162 b,0.8,0.1,1.9559,0.1,0.8,1.0412,1.9468,non-habitable
Kepler-1163 b,0.7,0.1,1.0079,0.1,0.8,1.834,1.0162,non-habitable
Kepler-1164 b,0.8,0.1,1.0834,0.1,0.8,1.5163,1.0877,non-habitable
Kepler-1165 b,0.8,0.1,1.4269,0.1,0.8,1.6145,1.4288,non-habitable
Kepler-1166 b,0.8,0.1,1.539,0.1,0.8,1.0031,1.5336,non-habitable
Kepler-1167 b,0.8,0.1,1.5549,0.1,0.8,2.1979,1.5613,non-habitable
Kepler-1168 b,0.8,0.1,2.1974,0.1,0.8,0.9047,2.1845,non-habitable
Kepler-1169 b,0.1,0.1,0.9778,0.1,0.7,1.4969,0.983,non-habitable
Kepler-1170 b,0.8,0.1,2.1211,0.1,0.7,1.2068,2.112,non-habitable
Kepler-1173 b,0.1,0.1,0.9702,0.1,0.8,2.3089,0.9836,non-habitable
Kepler-1174 b,0.8,0.1,1.459,0.1,0.8,1.6627,1.461,non-habitable
Kepler-1176 b,0.8,0.1,2.1558,0.1,0.8,1.285,2.1471,non-habitable
Kepler-1177 b,0.8,0.1,1.7061,0.1,0.8,0.8267,1.6973,non-habitable
Kepler-1178 b,0.8,0.1,1.0356,0.1,0.7,0.8116,1.0334,non-habitable
Kepler-1179 b,0.8,0.1,1.2449,0.1,0.8,1.7423,1.2499,non-habitable
Kepler-1180 b,0.8,0.1,1.7775,0.1,0.8,1.4381,1.7741,non-habitable
Kepler-1181 b,0.8,0.1,1.4429,0.1,0.8,2.0064,1.4485,non-habitable
Kepler-1182 b,0.8,0.1,2.1211,0.1,0.8,1.5796,2.1157,non-habitable
Kepler-1185 b,0.8,0.1,1.2524,0.1,0.8,0.7446,1.2473,non-habitable
Kepler-1186 b,0.8,0.1,1.9714,0.1,0.8,1.3217,1.9649,non-habitable
Kepler-1188 b,0.8,0.1,1.85,0.1,0.7,1.251,1.844,non-habitable
Kepler-1189 b,0.8,0.1,1.6026,0.1,0.8,2.0575,1.6071,non-habitable
Kepler-1190 b,0.8,0.1,1.2524,0.1,0.8,1.1088,1.251,non-habitable
Kepler-1191 b,0.8,0.1,1.396,0.1,0.8,1.489,1.3969,non-habitable
Kepler-1192 b,0.8,0.1,2.0806,0.1,0.8,1.1311,2.0711,non-habitable
Kepler-1193 b,0.8,0.1,1.2449,0.1,0.8,2.1428,1.2539,non-habitable
Kepler-1194 b,0.8,0.1,1.396,0.1,0.8,1.2257,1.3943,non-habitable
Kepler-1195 b,0.8,0.1,1.85,0.1,0.8,1.298,1.8445,non-habitable
Kepler-1196 b,0.8,0.1,1.9714,0.1,0.8,0.9599,1.9613,non-habitable
Kepler-1197 b,0.8,0.1,1.1881,0.1,0.8,1.658,1.1928,non-habitable
Kepler-1198 b,0.8,0.1,1.3637,0.1,0.8,1.4496,1.3646,non-habitable
Kepler-1199 b,0.8,0.1,1.1078,0.1,0.8,1.3709,1.1104,non-habitable
Kepler-1200 b,0.8,0.1,1.0356,0.1,0.8,1.8553,1.0438,non-habitable
Kepler-1201 b,0.8,0.1,2.0135,0.1,0.8,1.5703,2.0091,non-habitable
Kepler-1203 b,0.8,0.1,1.0356,0.1,0.7,1.6591,1.0418,non-habitable
Kepler-1205 b,0.8,0.1,1.3164,0.1,0.8,2.2312,1.3255,non-habitable
Kepler-1206 b,0.8,0.1,1.4984,0.1,0.8,2.0433,1.5038,non-habitable
Kepler-1207 b,0.8,0.1,1.4837,0.1,0.8,1.4018,1.4829,non-habitable
Kepler-1208 b,0.8,0.1,2.0458,0.1,0.8,1.2663,2.038,non-habitable
Kepler-1209 b,0.8,0.1,1.396,0.1,0.8,1.3364,1.3954,non-habitable
Kepler-1210 b,0.8,0.1,1.5463,0.1,0.8,1.4843,1.5457,non-habitable
Kepler-1212 b,0.8,0.1,1.8981,0.1,0.8,1.5546,1.8947,non-habitable
Kepler-1213 b,0.8,0.1,1.1398,0.1,0.8,1.8122,1.1465,non-habitable
Kepler-1214 b,0.8,0.1,2.0806,0.1,0.8,1.15,2.0713,non-habitable
Kepler-1215 b,0.8,0.1,1.164,0.1,0.8,1.6357,1.1687,non-habitable
Kepler-1216 b,0.8,0.1,1.3001,0.1,0.8,1.7573,1.3047,non-habitable
Kepler-1217 b,0.8,0.1,1.7775,0.1,0.7,2.0072,1.7798,non-habitable
Kepler-1218 b,0.8,0.1,1.3326,0.1,0.8,1.237,1.3316,non-habitable
Kepler-1219 b,0.8,0.1,1.8825,0.1,0.8,1.7389,1.8811,non-habitable
Kepler-1220 b,0.8,0.1,1.4034,0.1,0.8,1.5793,1.4052,non-habitable
Kepler-1221 b,0.8,0.1,1.6903,0.1,0.7,1.1447,1.6848,non-habitable
Kepler-1222 b,0.1,0.1,0.9551,0.1,0.8,1.779,0.9633,non-habitable
Kepler-1223 b,0.8,0.1,1.164,0.1,0.8,1.0107,1.1625,non-habitable
Kepler-1224 b,0.8,0.1,1.2524,0.1,0.7,1.3117,1.253,non-habitable
Kepler-1225 b,0.7,0.2,1.5659,0.1,0.8,1.8055,1.5683,non-habitable
Kepler-1226 b,0.8,0.1,1.3401,0.1,0.7,1.1678,1.3384,non-habitable
Kepler-1227 b,0.8,0.1,2.0135,0.1,0.8,0.8799,2.0022,non-habitable
Kepler-1228 b,0.8,0.1,1.4121,0.1,0.8,2.5246,1.4232,non-habitable
Kepler-1229 b,0.8,0.1,1.3076,0.1,0.1,0.5791,1.3003,psychroplanet
Kepler-1231 b,0.8,0.1,1.3238,0.1,0.8,1.425,1.3248,non-habitable
Kepler-1232 b,0.8,0.1,1.729,0.1,0.8,1.0961,1.7227,non-habitable
Kepler-1235 b,0.1,0.1,0.9551,0.1,0.8,1.5699,0.9612,non-habitable
