Name,A,B,CDHSi,G,D,CDHSs,CDHS,Cls
Kepler-397 b,0.8,0.1,2.1558,0.1,0.8,1.1322,2.1456,non-habitable
Kepler-398 b,0.1,0.1,0.9768,0.1,0.8,1.2272,0.9793,non-habitable
Kepler-398 c,0.8,0.1,0.9941,0.1,0.8,0.9568,0.9937,non-habitable
Kepler-399 b,0.1,0.1,0.981,0.1,0.8,1.0833,0.982,non-habitable
Kepler-399 c,0.8,0.1,1.3326,0.1,0.8,0.9832,1.3291,non-habitable
Kepler-399 d,0.8,0.1,1.6975,0.1,0.8,0.8507,1.689,non-habitable
Kepler-400 b,0.8,0.1,1.507,0.1,0.8,1.6024,1.508,non-habitable
Kepler-400 c,0.8,0.1,1.3799,0.1,0.8,1.3389,1.3795,non-habitable
Kepler-401 b,0.8,0.1,1.5549,0.1,0.8,1.5427,1.5548,non-habitable
Kepler-401 c,0.8,0.1,1.9066,0.1,0.8,1.1897,1.8994,non-habitable
Kepler-402 b,0.8,0.1,1.164,0.1,0.8,2.0106,1.1725,non-habitable
Kepler-402 c,0.8,0.1,1.4356,0.1,0.7,1.6119,1.4374,non-habitable
Kepler-402 d,0.8,0.1,1.2926,0.1,0.8,1.6613,1.2963,non-habitable
Kepler-402 e,0.8,0.1,1.3563,0.1,0.8,1.5746,1.3585,non-habitable
Kepler-403 b,0.8,0.1,1.1881,0.1,0.8,1.7648,1.1939,non-habitable
Kepler-403 c,0.8,0.1,1.5853,0.1,0.8,1.1023,1.5805,non-habitable
Kepler-404 b,0.8,0.1,1.2045,0.1,0.8,1.2711,1.2052,non-habitable
Kepler-404 c,0.8,0.1,1.5549,0.1,0.8,1.2583,1.5519,non-habitable
Kepler-405 b,0.8,0.1,1.85,0.1,0.8,1.447,1.846,non-habitable
Kepler-406 b,0.1,0.8,1.9191,0.1,0.8,2.1349,1.9213,non-habitable
Kepler-406 c,0.1,0.8,3.2189,0.1,0.8,1.7776,3.2045,non-habitable
Kepler-408 b,0.1,0.8,6.9798,0.1,0.8,2.4691,6.9347,non-habitable
Kepler-409 b,0.1,0.8,7.9927,0.1,0.8,0.9547,7.9223,non-habitable
Kepler-411 b,0.8,0.1,1.6903,0.1,0.8,1.7109,1.6905,non-habitable
Kepler-413(AB) b,0.7,0.1,2.7392,0.1,0.8,0.7733,2.7195,non-habitable
Kepler-431 b,0.1,0.1,0.9526,0.1,0.8,1.552,0.9586,non-habitable
Kepler-431 c,0.1,0.1,0.9384,0.1,0.7,1.2665,0.9417,non-habitable
Kepler-431 d,0.8,0.1,1.0757,0.1,0.7,1.2569,1.0775,non-habitable
Kepler-436 c,0.8,0.1,2.0542,0.1,0.8,1.0641,2.0443,non-habitable
Kepler-437 b,0.8,0.1,1.8981,0.1,0.8,0.7322,1.8864,non-habitable
Kepler-438 b,0.8,0.1,1.0834,0.1,0.7,0.6019,1.0786,mesoplanet
Kepler-439 b,0.8,0.1,1.9799,0.1,0.8,0.7229,1.9673,non-habitable
Kepler-440 b,0.8,0.1,1.6731,0.1,0.8,0.6567,1.6629,mesoplanet
Kepler-441 b,0.8,0.1,1.4984,0.1,0.1,0.5817,1.4892,non-habitable
Kepler-442 b,0.8,0.1,1.26,0.1,0.1,0.5799,1.2532,psychroplanet
Kepler-443 b,0.7,0.2,1.9708,0.1,0.8,0.6445,1.9575,mesoplanet
Kepler-444 b,0.1,0.1,0.8797,0.1,0.8,1.3344,0.8842,non-habitable
Kepler-444 c,0.1,0.1,0.9047,0.1,0.8,1.2893,0.9085,non-habitable
Kepler-444 d,0.1,0.1,0.9131,0.1,0.8,1.2009,0.916,non-habitable
Kepler-444 e,0.1,0.1,0.9131,0.1,0.8,1.1377,0.9153,non-habitable
Kepler-444 f,0.1,0.1,0.9398,0.1,0.8,1.0835,0.9412,non-habitable
Kepler-445 b,0.1,0.8,1.5322,0.1,0.8,0.8937,1.5258,non-habitable
Kepler-445 c,0.8,0.1,1.9633,0.1,0.8,0.7828,1.9515,non-habitable
Kepler-445 d,0.1,0.8,1.6146,0.1,0.8,0.6878,1.6053,non-habitable
Kepler-446 b,0.8,0.1,1.4221,0.1,0.7,1.0209,1.4181,non-habitable
Kepler-446 c,0.1,0.8,1.8694,0.1,0.8,0.9298,1.86,non-habitable
Kepler-446 d,0.8,0.1,1.2984,0.1,0.8,0.8117,1.2935,non-habitable
Kepler-449 b,0.8,0.1,1.8258,0.1,0.8,1.6227,1.8238,non-habitable
Kepler-450 d,0.1,0.1,0.9646,0.1,0.8,1.7404,0.9724,non-habitable
Kepler-452 b,0.8,0.1,1.4911,0.1,0.8,0.6225,1.4824,mesoplanet
Kepler-454 b,0.8,0.1,1.8618,0.1,0.8,1.4595,1.8578,non-habitable
Kepler-457 b,0.8,0.1,2.0723,0.1,0.8,1.4992,2.0666,non-habitable
Kepler-457 c,0.8,0.1,2.0723,0.1,0.8,1.1192,2.0628,non-habitable
Kepler-466 c,0.8,0.1,1.1881,0.1,0.8,1.892,1.1951,non-habitable
Kepler-467 b,0.8,0.1,1.9883,0.1,0.8,1.3854,1.9823,non-habitable
Kepler-475 b,0.8,0.1,2.1891,0.1,0.8,1.7793,2.185,non-habitable
Kepler-477 b,0.8,0.1,1.8428,0.1,0.8,1.2876,1.8372,non-habitable
Kepler-479 b,0.8,0.1,1.8825,0.1,0.8,1.271,1.8764,non-habitable
Kepler-481 b,0.7,0.2,2.1167,0.1,0.8,1.6375,2.1119,non-habitable
Kepler-482 b,0.8,0.1,2.0806,0.1,0.8,0.8322,2.0681,non-habitable
Kepler-484 b,0.8,0.1,2.0051,0.1,0.8,1.46,1.9996,non-habitable
Kepler-496 b,0.8,0.1,2.0458,0.1,0.8,1.4474,2.0398,non-habitable
Kepler-499 b,0.8,0.1,1.9235,0.1,0.8,1.5864,1.9201,non-habitable
Kepler-504 b,0.8,0.1,1.459,0.1,0.8,0.7791,1.4522,non-habitable
Kepler-507 b,0.8,0.1,1.2285,0.1,0.8,2.1189,1.2374,non-habitable
Kepler-508 b,0.8,0.1,1.4984,0.1,0.8,1.2833,1.4962,non-habitable
Kepler-509 b,0.8,0.1,2.1891,0.1,0.8,1.2157,2.1794,non-habitable
Kepler-510 b,0.8,0.1,2.1641,0.1,0.8,1.5313,2.1578,non-habitable
Kepler-513 b,0.8,0.1,1.9475,0.1,0.8,1.2192,1.9402,non-habitable
Kepler-514 b,0.8,0.1,1.5549,0.1,0.8,1.9954,1.5593,non-habitable
Kepler-515 b,0.8,0.1,1.3563,0.1,0.7,0.9966,1.3527,non-habitable
Kepler-518 b,0.8,0.1,1.874,0.1,0.8,1.5426,1.8707,non-habitable
Kepler-519 b,0.8,0.1,1.8584,0.1,0.8,1.0682,1.8505,non-habitable
Kepler-520 b,0.8,0.1,1.5143,0.1,0.8,1.324,1.5124,non-habitable
Kepler-520 c,0.8,0.1,1.0356,0.1,0.8,1.7489,1.0427,non-habitable
Kepler-523 b,0.8,0.1,1.7532,0.1,0.8,1.5971,1.7516,non-habitable
