Name,A,B,CDHSi,Conv_i,G,D,CDHSs,Conv_s,CDHS,Cls
Kepler-828 b,0.9,0.1,1.4547,49,0.1,0.9,3.0577,53,1.4707,non-habitable
Kepler-829 b,0.8,0.2,1.9326,50,0.1,0.9,1.8686,49,1.932,non-habitable
Kepler-830 b,0.9,0.1,1.6305,53,0.1,0.9,1.721,53,1.6314,non-habitable
Kepler-831 b,0.9,0.1,1.2337,53,0.1,0.9,1.839,52,1.2398,non-habitable
Kepler-832 b,0.8,0.2,1.8874,49,0.1,0.9,1.7718,50,1.8862,non-habitable
Kepler-833 b,0.9,0.1,1.9329,50,0.1,0.9,0.9805,49,1.9234,non-habitable
Kepler-834 b,0.8,0.2,1.8496,49,0.1,0.9,1.1356,52,1.8425,non-habitable
Kepler-842 b,0.9,0.1,1.5383,50,0.2,0.8,1.201,50,1.5349,non-habitable
Kepler-844 b,0.9,0.1,1.6118,50,0.2,0.8,0.8346,50,1.604,non-habitable
Kepler-845 b,0.9,0.1,1.9516,49,0.1,0.9,2.6891,49,1.959,non-habitable
Kepler-846 b,0.9,0.1,2.3867,49,0.1,0.9,1.3762,49,2.3766,non-habitable
Kepler-847 b,0.9,0.1,1.151,49,0.4,0.6,0.2431,49,1.1419,non-habitable
Kepler-848 b,0.9,0.1,1.6305,49,0.1,0.9,1.9656,49,1.6339,non-habitable
Kepler-850 b,0.9,0.1,1.7054,51,0.2,0.8,1.0288,49,1.6986,non-habitable
Kepler-851 b,0.9,0.1,1.6118,49,0.1,0.9,1.5639,52,1.6113,non-habitable
Kepler-853 b,0.9,0.1,1.6219,49,0.1,0.9,2.3017,49,1.6287,non-habitable
Kepler-861 b,0.9,0.1,2.1764,50,0.1,0.9,1.8697,49,2.1733,non-habitable
Kepler-862 b,0.9,0.1,2.1173,50,0.1,0.9,2.1255,52,2.1174,non-habitable
Kepler-864 b,0.8,0.2,2.2158,49,0.1,0.9,2.0441,49,2.2141,non-habitable
Kepler-865 b,0.9,0.1,2.3982,49,0.1,0.9,1.5199,50,2.3894,non-habitable
Kepler-866 b,0.9,0.1,1.5571,49,0.1,0.9,1.8367,49,1.5599,non-habitable
Kepler-868 b,0.8,0.2,1.8772,49,0.1,0.9,1.9502,49,1.8779,non-habitable
Kepler-872 b,0.8,0.2,1.8219,49,0.1,0.9,2.6273,49,1.83,non-habitable
Kepler-876 b,0.9,0.1,1.3811,52,0.1,0.9,1.6061,49,1.3834,non-habitable
Kepler-877 b,0.9,0.1,2.0294,49,0.1,0.9,1.2512,49,2.0216,non-habitable
Kepler-878 b,0.9,0.1,1.8465,51,0.1,0.9,1.0654,49,1.8387,non-habitable
Kepler-881 b,0.9,0.1,1.7054,49,0.1,0.9,2.2287,50,1.7106,non-habitable
Kepler-882 b,0.7,0.3,1.1347,49,0.1,0.9,1.8806,49,1.1422,non-habitable
