Name,A,B,CDHSi,Conv_i,G,D,CDHSs,Conv_s,CDHS,Cls
Kepler-1264 b,0.8,0.1,1.1321,49,0.1,0.8,2.5606,52,1.1464,non-habitable
Kepler-1265 b,0.8,0.1,1.26,49,0.1,0.7,1.1152,50,1.2586,non-habitable
Kepler-1268 b,0.8,0.1,1.8102,50,0.1,0.8,1.1158,49,1.8033,non-habitable
Kepler-1269 b,0.7,0.2,1.4261,49,0.1,0.7,1.0439,49,1.4223,non-habitable
Kepler-1271 b,0.8,0.1,1.3711,49,0.1,0.8,2.2063,49,1.3795,non-habitable
Kepler-1272 b,0.8,0.1,2.0806,52,0.1,0.7,1.0197,49,2.07,non-habitable
Kepler-1273 b,0.7,0.2,2.1083,51,0.1,0.8,1.1535,49,2.0988,non-habitable
Kepler-1274 b,0.8,0.1,1.3238,50,0.1,0.8,2.1418,49,1.332,non-habitable
Kepler-1275 b,0.8,0.1,1.3711,49,0.1,0.8,2.2021,49,1.3794,non-habitable
Kepler-1276 b,0.8,0.1,1.1398,50,0.1,0.7,1.3147,49,1.1415,non-habitable
Kepler-1277 b,0.8,0.1,1.4677,49,0.1,0.8,0.9807,49,1.4628,non-habitable
Kepler-1278 b,0.8,0.1,0.9941,53,0.1,0.8,2.0015,50,1.0042,non-habitable
Kepler-1279 b,0.8,0.1,1.5853,50,0.1,0.8,1.3784,50,1.5832,non-habitable
Kepler-1280 b,0.6,0.2,1.5124,49,0.1,0.7,1.0002,51,1.5073,non-habitable
Kepler-1281 b,0.7,0.2,1.4384,49,0.1,0.8,1.773,51,1.4417,non-habitable
Kepler-1282 b,0.8,0.1,1.4269,51,0.1,0.8,2.0213,52,1.4328,non-habitable
Kepler-1283 b,0.8,0.1,1.7061,49,0.1,0.8,1.5868,49,1.7049,non-habitable
Kepler-1284 b,0.8,0.1,1.1563,52,0.1,0.8,2.4192,51,1.1689,non-habitable
Kepler-1285 b,0.1,0.1,0.982,49,0.1,0.8,1.3996,49,0.9862,non-habitable
Kepler-1286 b,0.8,0.1,1.9066,49,0.1,0.8,1.478,50,1.9023,non-habitable
Kepler-1287 b,0.6,0.3,1.3097,52,0.1,0.8,1.3708,51,1.3103,non-habitable
Kepler-1288 b,0.8,0.1,1.0834,49,0.1,0.8,2.1974,49,1.0945,non-habitable
Kepler-1289 b,0.8,0.1,1.4034,49,0.1,0.8,1.6837,50,1.4062,non-habitable
Kepler-1290 b,0.8,0.1,1.3238,50,0.1,0.8,1.686,49,1.3274,non-habitable
Kepler-1291 b,0.8,0.1,1.5143,52,0.1,0.7,1.2044,49,1.5112,non-habitable
Kepler-1292 b,0.8,0.1,1.6343,50,0.1,0.8,1.8899,50,1.6369,non-habitable
Kepler-1293 b,0.3,0.1,0.9761,49,0.1,0.8,1.8213,50,0.9846,non-habitable
Kepler-1295 b,0.8,0.1,1.4269,51,0.1,0.8,1.7355,49,1.43,non-habitable
Kepler-1296 b,0.1,0.1,0.9735,49,0.1,0.7,1.1456,52,0.9752,non-habitable
Kepler-1297 b,0.3,0.1,0.9761,49,0.1,0.8,2.1802,49,0.9881,non-habitable
Kepler-1298 b,0.8,0.1,1.2361,51,0.1,0.8,2.0835,49,1.2446,non-habitable
Kepler-1300 b,0.8,0.1,1.2838,49,0.1,0.7,1.3177,50,1.2841,non-habitable
Kepler-1301 b,0.8,0.1,1.3076,50,0.1,0.8,1.28,50,1.3073,non-habitable
Kepler-1302 b,0.8,0.1,1.3326,49,0.1,0.8,1.3062,50,1.3323,non-habitable
Kepler-1303 b,0.8,0.1,1.3238,51,0.1,0.6,1.2135,49,1.3227,non-habitable
Kepler-1304 b,0.8,0.1,2.0135,53,0.1,0.5,0.9487,49,2.0029,non-habitable
Kepler-1305 b,0.8,0.1,1.6903,53,0.1,0.7,1.2332,50,1.6857,non-habitable
Kepler-1306 b,0.8,0.1,1.7061,50,0.1,0.8,1.3121,49,1.7022,non-habitable
Kepler-1307 b,0.8,0.1,2.1641,50,0.1,0.8,1.4123,51,2.1566,non-habitable
Kepler-1308 b,0.1,0.1,0.9113,49,0.1,0.8,0.9621,49,0.9118,non-habitable
Kepler-1309 b,0.8,0.1,2.0806,49,0.1,0.5,0.8693,49,2.0685,non-habitable
Kepler-1310 b,0.8,0.1,1.3326,50,0.1,0.8,2.702,51,1.3463,non-habitable
Kepler-1311 b,0.7,0.1,1.1553,49,0.1,0.7,1.3706,50,1.1575,non-habitable
Kepler-1311 c,0.8,0.1,1.164,50,0.1,0.8,2.2702,49,1.1751,non-habitable
Kepler-1312 b,0.8,0.1,1.8584,50,0.1,0.8,1.72,49,1.857,non-habitable
Kepler-1313 b,0.7,0.1,1.5064,52,0.1,0.8,1.7275,49,1.5086,non-habitable
Kepler-1315 b,0.7,0.2,1.2504,52,0.1,0.7,1.856,49,1.2565,non-habitable
Kepler-1317 b,0.8,0.1,1.4356,49,0.1,0.8,2.6169,49,1.4474,non-habitable
Kepler-1319 b,0.8,0.1,1.26,49,0.1,0.8,1.1784,49,1.2592,non-habitable
Kepler-1320 b,0.7,0.1,1.4663,49,0.1,0.8,2.2091,49,1.4737,non-habitable
Kepler-1321 c,0.8,0.1,2.1128,49,0.1,0.8,1.5031,49,2.1067,non-habitable
Kepler-1322 b,0.8,0.1,1.475,49,0.1,0.8,2.4785,51,1.485,non-habitable
Kepler-1323 b,0.8,0.1,1.4034,50,0.1,0.8,3.1638,51,1.421,non-habitable
