Name,A,B,CDHSi,Conv_i,G,D,CDHSs,Conv_s,CDHS,Cls
Kepler-195 c,0.7,0.3,1.3791,49,0.1,0.9,0.9902,51,1.3752,non-habitable
Kepler-196 b,0.9,0.1,1.8192,49,0.1,0.9,1.1514,51,1.8125,non-habitable
Kepler-196 c,0.9,0.1,2.1461,49,0.1,0.9,0.9469,49,2.1341,non-habitable
Kepler-197 b,0.9,0.1,1.0416,50,0.1,0.9,2.0158,49,1.0513,non-habitable
Kepler-197 c,0.2,0.8,2.5484,49,0.2,0.8,0.9969,49,2.5329,non-habitable
Kepler-197 d,0.9,0.1,1.2061,52,0.1,0.9,1.5297,49,1.2093,non-habitable
Kepler-197 e,0.9,0.1,0.9673,49,0.4,0.6,0.1729,49,0.9594,non-habitable
Kepler-198 c,0.9,0.1,2.3679,50,0.1,0.9,1.0818,50,2.355,non-habitable
Kepler-198 d,0.9,0.1,1.4634,49,0.1,0.9,2.8006,49,1.4768,non-habitable
Kepler-200 b,0.8,0.2,1.9529,50,0.1,0.9,1.7426,49,1.9508,non-habitable
Kepler-200 c,0.9,0.1,1.5283,49,0.1,0.9,1.5802,52,1.5288,non-habitable
Kepler-201 b,0.9,0.1,2.3579,49,0.1,0.9,1.5237,49,2.3496,non-habitable
Kepler-202 b,0.9,0.1,1.5571,53,0.1,0.9,1.5595,51,1.5571,non-habitable
Kepler-202 c,0.9,0.1,1.7716,49,0.1,0.9,1.0804,49,1.7647,non-habitable
Kepler-203 c,0.9,0.1,2.3679,49,0.1,0.9,2.2081,49,2.3663,non-habitable
Kepler-203 d,0.5,0.5,1.2018,49,0.1,0.9,1.6314,50,1.2061,non-habitable
Kepler-204 c,0.9,0.1,1.7155,50,0.1,0.9,1.399,49,1.7123,non-habitable
Kepler-205 b,0.8,0.2,1.4015,53,0.1,0.9,1.5357,49,1.4028,non-habitable
Kepler-205 c,0.9,0.1,1.5744,49,0.1,0.9,0.8871,50,1.5675,non-habitable
Kepler-206 b,0.9,0.1,1.1698,49,0.1,0.9,1.8096,49,1.1762,non-habitable
Kepler-206 c,0.9,0.1,1.6968,50,0.1,0.9,1.645,52,1.6963,non-habitable
Kepler-206 d,0.9,0.1,1.1598,49,0.2,0.8,0.6902,49,1.1551,non-habitable
Kepler-207 b,0.9,0.1,1.5095,49,0.1,0.9,3.3669,52,1.5281,non-habitable
Kepler-207 c,0.9,0.1,1.4447,51,0.1,0.9,2.7852,50,1.4581,non-habitable
Kepler-208 b,0.8,0.2,1.4966,49,0.1,0.9,2.4252,49,1.5059,non-habitable
Kepler-208 c,0.7,0.3,1.2555,50,0.1,0.9,2.0093,49,1.263,non-habitable
Kepler-208 d,0.9,0.1,1.1698,49,0.1,0.9,1.7544,49,1.1756,non-habitable
Kepler-208 e,0.9,0.1,1.4259,50,0.1,0.9,1.6243,49,1.4279,non-habitable
Kepler-209 b,0.9,0.1,2.1663,49,0.1,0.9,1.4378,49,2.159,non-habitable
Kepler-211 b,0.9,0.1,1.2149,50,0.1,0.9,1.7275,50,1.22,non-habitable
Kepler-211 c,0.7,0.3,1.1806,50,0.1,0.9,1.5523,50,1.1843,non-habitable
Kepler-212 b,0.9,0.1,1.0681,51,0.1,0.9,1.5702,50,1.0731,non-habitable
Kepler-213 b,0.9,0.1,1.5571,51,0.1,0.9,2.6275,51,1.5678,non-habitable
Kepler-213 c,0.9,0.1,2.2456,49,0.1,0.9,2.2844,49,2.246,non-habitable
Kepler-214 c,0.7,0.3,1.8699,49,0.1,0.9,1.4969,52,1.8662,non-habitable
Kepler-215 b,0.8,0.2,1.4966,49,0.1,0.9,1.7131,49,1.4988,non-habitable
Kepler-215 c,0.9,0.1,1.6968,49,0.2,0.8,0.835,50,1.6882,non-habitable
Kepler-215 d,0.9,0.1,2.296,49,0.1,0.9,1.3122,50,2.2862,non-habitable
Kepler-215 e,0.9,0.1,1.6766,50,0.1,0.9,0.9938,49,1.6698,non-habitable
Kepler-216 b,0.9,0.1,2.2571,52,0.1,0.9,2.149,49,2.256,non-habitable
Kepler-217 b,0.9,0.1,2.136,50,0.1,0.9,2.7331,50,2.142,non-habitable
Kepler-217 c,0.9,0.1,1.7716,49,0.1,0.9,2.3102,51,1.777,non-habitable
Kepler-218 b,0.8,0.2,1.3738,49,0.2,0.8,1.0972,50,1.371,non-habitable
Kepler-220 b,0.2,0.8,0.818,49,0.2,0.8,0.691,49,0.8167,non-habitable
Kepler-220 c,0.9,0.1,1.5095,50,0.1,0.9,1.2338,49,1.5067,non-habitable
Kepler-220 d,0.8,0.2,0.9469,49,0.1,0.9,0.8333,53,0.9458,non-habitable
Kepler-220 e,0.9,0.1,1.2887,49,0.1,0.9,0.7645,49,1.2835,non-habitable
Kepler-221 b,0.9,0.1,1.6406,49,0.1,0.9,2.063,51,1.6448,non-habitable
Kepler-223 b,0.9,0.1,1.6219,52,0.4,0.6,0.277,49,1.6085,non-habitable
Kepler-223 c,0.9,0.1,1.9041,50,0.1,0.9,1.7516,49,1.9026,non-habitable
Kepler-223 e,0.9,0.1,2.3061,49,0.3,0.7,0.4957,49,2.288,non-habitable
Kepler-224 b,0.8,0.2,1.2988,49,0.1,0.9,1.7552,49,1.3034,non-habitable
Kepler-224 d,0.9,0.1,2.2052,49,0.1,0.9,1.3277,49,2.1964,non-habitable
Kepler-224 e,0.9,0.1,1.8854,49,0.2,0.8,0.646,50,1.873,non-habitable
Kepler-225 b,0.9,0.1,1.1698,51,0.1,0.9,0.9643,50,1.1677,non-habitable
Kepler-225 c,0.9,0.1,1.7615,50,0.2,0.8,0.4628,49,1.7485,non-habitable
Kepler-226 b,0.7,0.3,1.3791,51,0.1,0.9,1.9103,49,1.3844,non-habitable
Kepler-226 c,0.9,0.1,2.1764,49,0.2,0.8,1.0359,51,2.165,non-habitable
Kepler-226 d,0.9,0.1,1.1873,49,0.1,0.9,1.5009,51,1.1904,non-habitable
Kepler-228 b,0.9,0.1,1.4634,52,0.1,0.9,2.4844,49,1.4736,non-habitable
Kepler-229 b,0.9,0.1,2.1072,49,0.3,0.7,0.5087,51,2.0912,non-habitable
Kepler-230 c,0.9,0.1,1.9516,50,0.3,0.7,0.3008,49,1.9351,non-habitable
Kepler-231 b,0.9,0.1,1.6492,49,0.2,0.8,0.5381,51,1.6381,non-habitable
Kepler-231 c,0.7,0.3,1.6901,52,0.2,0.8,0.4773,49,1.678,non-habitable
Kepler-233 b,0.9,0.1,2.3377,49,0.2,0.8,0.9088,51,2.3234,non-habitable
Kepler-235 b,0.8,0.2,2.0461,50,0.3,0.7,0.4902,51,2.0305,non-habitable
Kepler-235 c,0.8,0.2,1.2059,51,0.4,0.6,0.1732,49,1.1956,non-habitable
Kepler-235 d,0.9,0.1,1.9617,49,0.1,0.9,0.9129,49,1.9512,non-habitable
Kepler-235 e,0.8,0.2,2.0387,51,0.1,0.9,0.7442,49,2.0258,non-habitable
Kepler-236 b,0.9,0.1,1.5095,52,0.1,0.9,0.9847,51,1.5043,non-habitable
Kepler-236 c,0.8,0.2,1.8219,49,0.1,0.9,0.7716,50,1.8114,non-habitable
Kepler-237 b,0.8,0.2,1.3164,50,0.2,0.8,0.8219,49,1.3115,non-habitable
Kepler-237 c,0.9,0.1,1.9905,49,0.2,0.8,0.8072,49,1.9787,non-habitable
Kepler-238 b,0.9,0.1,1.6492,52,0.1,0.9,2.3676,50,1.6564,non-habitable
Kepler-238 c,0.5,0.5,1.9555,53,0.1,0.9,1.844,49,1.9544,non-habitable
Kepler-238 f,0.1,0.9,2.188,51,0.1,0.9,0.9985,49,2.1761,non-habitable
Kepler-239 b,0.8,0.2,2.1448,50,0.3,0.7,0.4499,49,2.1279,non-habitable
Kepler-240 b,0.9,0.1,1.3249,49,0.1,0.9,1.6326,52,1.328,non-habitable
Kepler-240 c,0.9,0.1,2.1072,49,0.1,0.9,1.4653,52,2.1008,non-habitable
Kepler-241 b,0.8,0.2,2.1448,49,0.1,0.9,1.225,49,2.1356,non-habitable
Kepler-242 c,0.9,0.1,1.9041,50,0.1,0.9,1.3045,50,1.8981,non-habitable
Kepler-243 b,0.8,0.2,2.2692,49,0.1,0.9,1.7736,49,2.2642,non-habitable
Kepler-243 c,0.9,0.1,1.9041,49,0.3,0.7,0.3931,50,1.889,non-habitable
Kepler-244 c,0.9,0.1,1.9617,52,0.1,0.9,1.5306,49,1.9574,non-habitable
Kepler-244 d,0.9,0.1,2.2153,49,0.2,0.8,0.7467,49,2.2006,non-habitable
Kepler-245 c,0.9,0.1,2.0784,51,0.1,0.9,1.2409,53,2.07,non-habitable
Kepler-245 e,0.9,0.1,1.6766,50,0.3,0.7,0.5468,49,1.6653,non-habitable
Kepler-246 b,0.8,0.2,2.155,49,0.1,0.9,1.8774,49,2.1522,non-habitable
Kepler-246 c,0.9,0.1,1.4447,53,0.1,0.9,1.3476,49,1.4437,non-habitable
Kepler-247 b,0.8,0.2,1.5113,49,0.1,0.9,1.8623,49,1.5148,non-habitable
Kepler-249 b,0.9,0.1,1.0681,50,0.1,0.9,1.1298,49,1.0687,non-habitable
Kepler-249 c,0.9,0.1,1.4547,49,0.1,0.9,0.9601,49,1.4498,non-habitable
Kepler-249 d,0.9,0.1,1.5095,53,0.1,0.9,0.7832,51,1.5022,non-habitable
