Name,A,B,CDHSi,Conv_i,G,D,CDHSs,Conv_s,CDHS,Cls
55 Cnc e,0.8,0.1,1.7443,49,0.1,0.8,2.6705,49,1.7536,non-habitable
61 Vir b,0.8,0.1,1.5143,49,0.1,0.8,1.7484,49,1.5166,non-habitable
alf Cen B b,0.8,0.1,1.059,51,0.1,0.7,1.4567,49,1.063,non-habitable
BD+20 594 b,0.8,0.1,1.9741,51,0.1,0.8,1.0469,49,1.9648,non-habitable
BD-06 1339 b,0.8,0.1,1.7132,49,0.1,0.8,1.944,49,1.7155,non-habitable
CoRoT-7 b,0.7,0.2,1.573,49,0.1,0.8,2.5441,49,1.5827,non-habitable
CoRoT-7 c,0.8,0.1,1.7061,49,0.1,0.8,1.7375,50,1.7064,non-habitable
EPIC-206011691 b,0.7,0.1,1.3929,51,0.1,0.8,1.0033,50,1.389,non-habitable
EPIC-206011691 c,0.7,0.1,1.6131,49,0.1,0.8,0.9139,49,1.6061,non-habitable
EPIC 201295312 b,0.8,0.1,2.121,49,0.1,0.7,1.7436,49,2.1172,non-habitable
EPIC 201445392 c,0.8,0.1,2.1211,49,0.1,0.8,1.8069,50,2.118,non-habitable
EPIC 201637175 b,0.1,0.8,12.3132,49,0.1,0.8,2.6387,49,12.2165,non-habitable
EPIC 201713348 b,0.8,0.1,1.2449,50,0.1,0.8,1.9089,49,1.2515,non-habitable
EPIC 203826436 b,0.8,0.1,1.475,49,0.1,0.8,1.6374,50,1.4766,non-habitable
EPIC 204221263 b,0.8,0.1,1.4269,53,0.1,0.8,1.8919,51,1.4315,non-habitable
EPIC 204221263 c,0.8,0.1,2.1295,53,0.1,0.7,1.4188,51,2.1224,non-habitable
EPIC 211822797 b,0.8,0.1,1.9799,49,0.1,0.8,0.841,50,1.9685,non-habitable
EPIC 211913977 b,0.7,0.2,1.724,49,0.1,0.7,1.0254,51,1.717,non-habitable
EPIC 211969807 b,0.8,0.1,1.7061,51,0.1,0.8,1.3229,51,1.7023,non-habitable
EPIC 211970147 b,0.8,0.1,1.26,49,0.1,0.8,1.1112,51,1.2585,non-habitable
EPIC 220674823 b,0.8,0.1,1.3563,49,0.1,0.8,3.072,49,1.3735,non-habitable
GJ 15 A b,0.7,0.2,1.4743,49,0.1,0.7,0.7656,49,1.4672,non-habitable
GJ 163 c,0.8,0.1,1.6501,50,0.1,0.1,0.6048,49,1.6396,psychroplanet
GJ 176 b,0.8,0.1,1.7061,50,0.1,0.8,0.9263,50,1.6983,non-habitable
GJ 180 b,0.7,0.2,1.6248,50,0.1,0.8,0.6513,49,1.6151,mesoplanet
GJ 180 c,0.7,0.2,1.5363,49,0.1,0.1,0.604,50,1.527,mesoplanet
GJ 273 b,0.8,0.1,1.3238,49,0.1,0.8,0.6173,51,1.3167,mesoplanet
GJ 273 c,0.8,0.1,1.0679,49,0.1,0.8,0.8233,49,1.0655,non-habitable
GJ 422 b,0.8,0.1,1.7703,49,0.1,0.1,0.6127,50,1.7587,mesoplanet
GJ 433 b,0.8,0.1,1.5303,49,0.1,0.8,0.8549,50,1.5235,non-habitable
GJ 536 b,0.8,0.1,1.539,49,0.1,0.8,0.9149,49,1.5328,non-habitable
GJ 581 c,0.8,0.1,1.539,49,0.1,0.8,0.7102,49,1.5307,non-habitable
GJ 581 e,0.8,0.1,1.2045,50,0.1,0.8,0.9565,49,1.202,non-habitable
GJ 649 c,0.8,0.1,1.7532,50,0.1,0.8,1.063,49,1.7463,non-habitable
GJ 667 C b,0.7,0.2,1.4892,50,0.1,0.8,0.8289,50,1.4826,non-habitable
GJ 667 C c,0.8,0.1,1.4195,52,0.1,0.2,0.5931,49,1.4112,mesoplanet
GJ 667 C d,0.8,0.1,1.5216,50,0.1,0.1,0.5809,52,1.5122,non-habitable
GJ 667 C e,0.8,0.1,1.3076,50,0.1,0.2,0.5594,49,1.3001,psychroplanet
GJ 667 C f,0.8,0.1,1.3076,49,0.1,0.1,0.5805,50,1.3003,psychroplanet
GJ 667 C g,0.7,0.2,1.4235,49,0.1,0.1,0.5635,49,1.4149,non-habitable
GJ 676 A d,0.8,0.1,1.4677,50,0.1,0.8,1.2668,49,1.4657,non-habitable
GJ 682 b,0.8,0.1,1.4677,50,0.1,0.8,0.6727,51,1.4597,non-habitable
GJ 682 c,0.8,0.1,1.7218,50,0.1,0.1,0.6017,50,1.7106,psychroplanet
GJ 832 c,0.7,0.2,1.4769,49,0.1,0.8,0.6145,51,1.4683,mesoplanet
GJ 876 d,0.8,0.1,1.6343,49,0.1,0.7,1.0822,53,1.6288,non-habitable
GJ 1132 b,0.8,0.1,1.1248,50,0.1,0.8,0.9901,50,1.1235,non-habitable
GJ 1214 b,0.8,0.1,1.9695,49,0.1,0.8,1.0059,49,1.9599,non-habitable
GJ 3138 b,0.8,0.1,1.4517,49,0.1,0.8,0.9643,52,1.4468,non-habitable
GJ 3138 c,0.8,0.1,1.1805,50,0.1,0.8,1.3871,53,1.1826,non-habitable
GJ 3293 d,0.8,0.1,1.6659,49,0.1,0.1,0.604,50,1.6553,psychroplanet
GJ 3293 e,0.8,0.1,1.3637,50,0.1,0.8,0.733,49,1.3574,non-habitable
GJ 3323 b,0.8,0.1,1.2121,51,0.1,0.8,0.6016,49,1.206,mesoplanet
GJ 3323 c,0.7,0.1,1.2236,49,0.1,0.1,0.5544,53,1.2169,non-habitable
GJ 3341 b,0.8,0.1,1.6098,49,0.1,0.8,0.7768,49,1.6015,non-habitable
GJ 3634 b,0.8,0.1,1.6975,49,0.1,0.8,1.1129,50,1.6917,non-habitable
GJ 3998 b,0.8,0.1,1.2763,50,0.1,0.7,1.1027,49,1.2746,non-habitable
GJ 3998 c,0.8,0.1,1.594,49,0.1,0.8,0.8297,49,1.5864,non-habitable
HD 1461 b,0.8,0.1,1.6026,49,0.1,0.8,1.7678,51,1.6043,non-habitable
HD 1461 c,0.7,0.2,1.4892,53,0.1,0.8,1.4151,49,1.4885,non-habitable
HD 3167 b,0.8,0.1,1.459,49,0.1,0.6,1.6789,49,1.4612,non-habitable
HD 7924 c,0.8,0.1,1.6817,52,0.1,0.8,1.158,49,1.6765,non-habitable
HD 7924 d,0.8,0.1,1.6026,49,0.1,0.8,1.0207,50,1.5968,non-habitable
HD 20794 b,0.6,0.2,1.2212,49,0.1,0.8,1.1928,49,1.2209,non-habitable
HD 20794 c,0.8,0.1,1.2688,50,0.1,0.8,0.9758,50,1.2659,non-habitable
HD 20794 d,0.8,0.1,1.4984,49,0.1,0.8,0.8243,49,1.4917,non-habitable
HD 39194 b,0.8,0.1,1.4108,50,0.1,0.8,1.5043,49,1.4117,non-habitable
HD 39194 c,0.8,0.1,1.5781,52,0.1,0.8,1.2189,49,1.5745,non-habitable
HD 39194 d,0.7,0.2,1.4621,50,0.1,0.8,0.9717,49,1.4572,non-habitable
HD 40307 b,0.8,0.1,1.4195,49,0.1,0.8,1.4129,52,1.4194,non-habitable
HD 40307 c,0.8,0.1,1.6026,50,0.1,0.8,1.181,50,1.5984,non-habitable
HD 40307 d,0.8,0.1,1.7218,49,0.1,0.7,0.9354,51,1.7139,non-habitable
HD 40307 e,0.8,0.1,1.3873,51,0.1,0.7,0.8052,49,1.3815,non-habitable
HD 40307 f,0.8,0.1,1.4034,49,0.1,0.8,0.7634,49,1.397,non-habitable
HD 40307 g,0.8,0.1,1.6415,50,0.1,0.1,0.604,49,1.6311,psychroplanet
HD 85512 b,0.8,0.1,1.3873,49,0.1,0.8,0.6714,51,1.3801,non-habitable
HD 93385 b,0.8,0.1,1.7047,49,0.1,0.6,1.2077,50,1.6997,non-habitable
HD 96700 b,0.8,0.1,1.7304,50,0.1,0.7,1.512,50,1.7282,non-habitable
HD 97658 b,0.8,0.1,1.838,51,0.1,0.8,1.2679,49,1.8323,non-habitable
HD 106315 b,0.8,0.1,1.8381,49,0.1,0.8,1.6888,49,1.8366,non-habitable
HD 134606 b,0.8,0.1,1.7461,49,0.1,0.7,1.3213,49,1.7419,non-habitable
HD 136352 b,0.8,0.1,1.5303,52,0.1,0.8,1.4739,50,1.5297,non-habitable
HD 136352 d,0.8,0.1,1.7532,51,0.1,0.7,0.8291,49,1.744,non-habitable
HD 154088 b,0.8,0.1,1.5867,52,0.1,0.7,1.1094,49,1.5819,non-habitable
HD 156668 b,0.8,0.1,1.4503,49,0.1,0.8,1.4193,49,1.45,non-habitable
HD 175607 b,0.8,0.1,1.7304,50,0.1,0.8,1.0098,49,1.7232,non-habitable
HD 181433 b,0.7,0.2,1.5954,51,0.1,0.8,1.2448,49,1.5919,non-habitable
HD 215152 b,0.7,0.2,1.2719,49,0.1,0.8,1.253,50,1.2717,non-habitable
HD 215152 c,0.8,0.1,1.3475,50,0.1,0.8,1.1363,52,1.3454,non-habitable
HD 215497 b,0.8,0.1,1.6012,50,0.1,0.8,1.6735,49,1.6019,non-habitable
HD 219134 b,0.7,0.1,1.378,49,0.1,0.8,1.5672,50,1.3799,non-habitable
HD 219134 c,0.8,0.1,1.3873,51,0.1,0.8,1.2835,50,1.3863,non-habitable
HD 219134 e,0.8,0.1,1.4108,49,0.1,0.1,0.5572,52,1.4023,non-habitable
HIP 68468 b,0.7,0.2,1.3361,50,0.1,0.8,2.3042,49,1.3458,non-habitable
HIP 116454 b,0.8,0.1,2.0362,50,0.1,0.8,1.173,49,2.0276,non-habitable
K2-3 b,0.8,0.1,1.9319,49,0.1,0.8,0.9832,49,1.9224,non-habitable
K2-3 c,0.7,0.2,1.5954,49,0.1,0.8,0.769,51,1.5871,non-habitable
K2-3 d,0.1,0.8,2.5796,50,0.1,0.8,0.6972,49,2.5608,non-habitable
K2-4 b,0.6,0.3,1.9251,49,0.1,0.8,1.0829,49,1.9167,non-habitable
K2-5 b,0.8,0.1,1.7132,49,0.1,0.8,1.1173,50,1.7072,non-habitable
K2-5 c,0.7,0.1,1.8404,53,0.1,0.8,0.9847,53,1.8318,non-habitable
