Name,A,B,CDHSi,Conv_i,G,D,CDHSs,Conv_s,CDHS,Cls
55 Cnc e,0.8,0.2,1.7545,49,0.1,0.9,3.2119,49,1.7691,non-habitable
61 Vir b,0.8,0.2,1.5289,49,0.1,0.9,1.9983,49,1.5336,non-habitable
alf Cen B b,0.9,0.1,1.0681,49,0.1,0.9,1.9052,50,1.0765,non-habitable
BD+20 594 b,0.7,0.3,1.9679,50,0.1,0.9,1.1162,49,1.9594,non-habitable
BD-06 1339 b,0.9,0.1,1.8278,51,0.1,0.9,2.2461,49,1.832,non-habitable
CoRoT-7 b,0.9,0.1,1.6629,49,0.1,0.9,3.0403,52,1.6767,non-habitable
CoRoT-7 c,0.9,0.1,1.8192,51,0.3,0.7,0.5698,52,1.8067,non-habitable
EPIC-206011691 b,0.8,0.2,1.4689,49,0.2,0.8,0.5987,51,1.4602,non-habitable
EPIC-206011691 c,0.9,0.1,1.8379,50,0.1,0.9,0.9609,52,1.8291,non-habitable
EPIC 201295312 b,0.9,0.1,2.3459,49,0.1,0.9,2.3523,49,2.346,non-habitable
EPIC 201445392 c,0.9,0.1,2.3162,49,0.1,0.9,2.0593,51,2.3136,non-habitable
EPIC 201637175 b,0.1,0.9,16.6371,49,0.1,0.9,3.0978,49,16.5017,non-habitable
EPIC 201713348 b,0.8,0.2,1.2411,49,0.2,0.8,1.1122,49,1.2398,non-habitable
EPIC 203826436 b,0.9,0.1,1.547,51,0.1,0.9,1.8572,49,1.5501,non-habitable
EPIC 204221263 b,0.9,0.1,1.4908,49,0.1,0.9,2.1865,52,1.4978,non-habitable
EPIC 204221263 c,0.9,0.1,2.3262,49,0.1,0.9,1.7848,52,2.3208,non-habitable
EPIC 211822797 b,0.9,0.1,2.1461,50,0.1,0.9,0.8724,49,2.1334,non-habitable
EPIC 211913977 b,0.9,0.1,1.9329,53,0.1,0.9,1.1856,51,1.9254,non-habitable
EPIC 211969807 b,0.9,0.1,1.8192,49,0.1,0.9,1.4569,49,1.8156,non-habitable
EPIC 211970147 b,0.9,0.1,1.2974,50,0.1,0.9,1.2042,49,1.2965,non-habitable
EPIC 220674823 b,0.9,0.1,1.4086,51,0.1,0.9,3.7757,49,1.4323,non-habitable
GJ 15 A b,0.9,0.1,1.6204,49,0.2,0.8,0.4765,49,1.609,non-habitable
GJ 163 c,0.9,0.1,1.7529,51,0.3,0.7,0.2164,50,1.7375,psychroplanet
GJ 176 b,0.9,0.1,1.8192,49,0.2,0.8,0.5666,50,1.8067,non-habitable
GJ 180 b,0.9,0.1,1.8091,49,0.1,0.9,0.6565,49,1.7976,mesoplanet
GJ 180 c,0.8,0.2,1.6266,49,0.1,0.9,0.5939,49,1.6163,mesoplanet
GJ 273 b,0.9,0.1,1.3711,51,0.1,0.9,0.621,50,1.3636,mesoplanet
GJ 273 c,0.9,0.1,1.0781,49,0.1,0.9,0.8621,50,1.0759,non-habitable
GJ 422 b,0.8,0.2,1.8146,49,0.2,0.8,0.366,49,1.8001,mesoplanet
GJ 433 b,0.9,0.1,1.6118,49,0.1,0.9,0.8934,49,1.6046,non-habitable
GJ 536 b,0.8,0.2,1.5565,50,0.4,0.6,0.1791,50,1.5427,non-habitable
GJ 581 c,0.9,0.1,1.6219,49,0.1,0.9,0.725,50,1.6129,non-habitable
GJ 581 e,0.9,0.1,1.2337,49,0.1,0.9,1.0182,52,1.2315,non-habitable
GJ 649 c,0.8,0.2,1.7942,50,0.3,0.7,0.3747,53,1.78,non-habitable
GJ 667 C b,0.9,0.1,1.6391,52,0.1,0.9,0.8626,49,1.6313,non-habitable
GJ 667 C c,0.9,0.1,1.4821,50,0.1,0.9,0.5908,50,1.4732,mesoplanet
GJ 667 C d,0.9,0.1,1.6017,49,0.3,0.7,0.1719,49,1.5874,non-habitable
GJ 667 C e,0.7,0.3,1.2618,50,0.1,0.9,0.4737,49,1.2539,psychroplanet
GJ 667 C f,0.8,0.2,1.3063,51,0.1,0.9,0.533,49,1.2986,psychroplanet
GJ 667 C g,0.9,0.1,1.5556,51,0.1,0.9,0.3495,50,1.5435,non-habitable
GJ 676 A d,0.9,0.1,1.5383,49,0.1,0.9,1.3916,49,1.5368,non-habitable
GJ 682 b,0.9,0.1,1.5383,50,0.2,0.8,0.4017,49,1.5269,non-habitable
GJ 682 c,0.9,0.1,1.8379,49,0.1,0.9,0.5237,49,1.8248,psychroplanet
GJ 832 c,0.9,0.1,1.6219,50,0.1,0.9,0.6162,51,1.6118,mesoplanet
GJ 876 d,0.7,0.3,1.592,49,0.1,0.9,1.2764,50,1.5888,non-habitable
GJ 1132 b,0.8,0.2,1.1314,49,0.1,0.9,1.059,50,1.1307,non-habitable
GJ 1214 b,0.9,0.1,2.1727,50,0.1,0.9,1.0745,49,2.1617,non-habitable
GJ 3138 b,0.9,0.1,1.5196,50,0.1,0.9,1.0241,49,1.5146,non-habitable
GJ 3138 c,0.9,0.1,1.2061,49,0.2,0.8,0.8019,50,1.2021,non-habitable
GJ 3293 d,0.9,0.1,1.7716,49,0.1,0.9,0.563,49,1.7595,psychroplanet
GJ 3293 e,0.9,0.1,1.4172,49,0.1,0.9,0.753,51,1.4106,non-habitable
GJ 3323 b,0.9,0.1,1.2424,49,0.1,0.9,0.6043,49,1.236,mesoplanet
GJ 3323 c,0.9,0.1,1.2974,49,0.1,0.9,0.3677,49,1.2881,non-habitable
GJ 3341 b,0.8,0.2,1.6339,50,0.2,0.8,0.4707,50,1.6223,non-habitable
GJ 3634 b,0.9,0.1,1.8091,50,0.1,0.9,1.1995,49,1.803,non-habitable
GJ 3998 b,0.9,0.1,1.3162,49,0.1,0.9,1.3216,49,1.3163,non-habitable
GJ 3998 c,0.9,0.1,1.6867,49,0.3,0.7,0.2918,49,1.6728,non-habitable
HD 1461 b,0.9,0.1,1.6968,50,0.1,0.9,2.0211,50,1.7,non-habitable
HD 1461 c,0.7,0.3,1.5061,49,0.1,0.9,1.5746,49,1.5068,non-habitable
HD 3167 b,0.9,0.1,1.5283,50,0.3,0.7,0.7105,49,1.5201,non-habitable
HD 7924 c,0.9,0.1,1.7903,52,0.1,0.9,1.2546,49,1.7849,non-habitable
HD 7924 d,0.9,0.1,1.6968,49,0.1,0.9,1.0895,49,1.6907,non-habitable
HD 20794 b,0.9,0.1,1.3523,49,0.2,0.8,0.6998,49,1.3458,non-habitable
HD 20794 c,0.7,0.3,1.2263,52,0.1,0.9,1.0404,49,1.2244,non-habitable
HD 20794 d,0.7,0.3,1.4508,51,0.1,0.9,0.8578,53,1.4449,non-habitable
HD 39194 b,0.9,0.1,1.4721,49,0.1,0.9,1.6898,53,1.4743,non-habitable
HD 39194 c,0.9,0.1,1.668,50,0.1,0.9,1.3309,51,1.6646,non-habitable
HD 39194 d,0.9,0.1,1.6032,53,0.3,0.7,0.3301,52,1.5905,non-habitable
HD 40307 b,0.8,0.2,1.4264,50,0.1,0.9,1.5744,49,1.4279,non-habitable
HD 40307 c,0.8,0.2,1.6266,49,0.3,0.7,0.3984,53,1.6143,non-habitable
HD 40307 d,0.9,0.1,1.8379,50,0.1,0.9,1.0559,50,1.8301,non-habitable
HD 40307 e,0.9,0.1,1.4447,52,0.3,0.7,0.2824,49,1.4331,non-habitable
HD 40307 f,0.9,0.1,1.4634,49,0.1,0.9,0.7879,49,1.4566,non-habitable
HD 40307 g,0.9,0.1,1.7428,49,0.1,0.9,0.5745,49,1.7311,psychroplanet
HD 85512 b,0.8,0.2,1.3914,50,0.1,0.9,0.682,49,1.3843,non-habitable
HD 93385 b,0.8,0.2,1.7389,50,0.3,0.7,0.5056,49,1.7266,non-habitable
HD 96700 b,0.8,0.2,1.7694,51,0.1,0.9,1.9568,49,1.7713,non-habitable
HD 97658 b,0.9,0.1,1.9933,49,0.1,0.9,1.3914,49,1.9873,non-habitable
HD 106315 b,0.9,0.1,1.9916,52,0.1,0.9,1.92,53,1.9909,non-habitable
HD 134606 b,0.9,0.1,1.8667,51,0.1,0.9,1.6451,49,1.8645,non-habitable
HD 136352 b,0.9,0.1,1.6118,50,0.3,0.7,0.4759,51,1.6004,non-habitable
HD 136352 d,0.9,0.1,1.8753,53,0.1,0.9,0.9033,49,1.8656,non-habitable
HD 154088 b,0.8,0.2,1.6091,49,0.2,0.8,0.7311,49,1.6003,non-habitable
HD 156668 b,0.9,0.1,1.5182,52,0.2,0.8,0.846,49,1.5115,non-habitable
HD 175607 b,0.9,0.1,1.848,49,0.1,0.9,1.0748,49,1.8403,non-habitable
HD 181433 b,0.9,0.1,1.7716,49,0.1,0.9,1.3612,49,1.7675,non-habitable
HD 215152 b,0.8,0.2,1.3164,49,0.1,0.9,1.3775,49,1.317,non-habitable
HD 215152 c,0.9,0.1,1.3985,49,0.1,0.9,1.2335,50,1.3969,non-habitable
HD 215497 b,0.9,0.1,1.6953,50,0.1,0.9,1.9004,49,1.6974,non-habitable
HD 219134 b,0.7,0.3,1.3553,49,0.1,0.9,1.7698,50,1.3594,non-habitable
HD 219134 c,0.9,0.1,1.4447,49,0.2,0.8,0.7602,50,1.4379,non-habitable
HD 219134 e,0.9,0.1,1.4721,50,0.1,0.9,0.3363,49,1.4607,non-habitable
HIP 68468 b,0.9,0.1,1.4447,49,0.3,0.7,0.682,52,1.4371,non-habitable
HIP 116454 b,0.9,0.1,2.2343,49,0.1,0.9,1.2721,49,2.2247,non-habitable
K2-3 b,0.9,0.1,2.0885,49,0.1,0.9,1.0406,49,2.078,non-habitable
K2-3 c,0.9,0.1,1.7716,49,0.1,0.9,0.7917,49,1.7618,non-habitable
K2-3 d,0.1,0.9,2.8886,49,0.2,0.8,0.4369,51,2.8641,non-habitable
K2-4 b,0.9,0.1,2.2758,51,0.1,0.9,1.158,49,2.2646,non-habitable
K2-5 b,0.9,0.1,1.8278,49,0.1,0.9,1.2047,49,1.8216,non-habitable
K2-5 c,0.9,0.1,2.1663,52,0.1,0.9,1.0417,51,2.1551,non-habitable
K2-6 b,0.9,0.1,2.4082,49,0.1,0.9,1.2939,49,2.3971,non-habitable
K2-8 c,0.9,0.1,2.3162,49,0.1,0.9,1.6824,50,2.3099,non-habitable
K2-9 b,0.9,0.1,2.1562,53,0.1,0.9,0.697,49,2.1416,thermoplanet
K2-10 b,0.9,0.1,3.119,49,0.1,0.9,1.3984,49,3.1018,non-habitable
K2-12 b,0.8,0.2,2.1448,49,0.1,0.9,1.8591,49,2.1419,non-habitable
K2-13 b,0.8,0.2,1.7316,49,0.1,0.9,1.0517,51,1.7248,non-habitable
K2-15 b,0.9,0.1,2.3881,49,0.1,0.9,1.3622,49,2.3778,non-habitable
K2-16 b,0.8,0.2,1.8496,49,0.1,0.9,1.3774,49,1.8449,non-habitable
