Name,A,B,CDHSi,Conv_i,G,D,CDHSs,Conv_s,CDHS,Cls
Kepler-770 d,0.8,0.1,1.3076,49,0.1,0.8,1.7177,52,1.3117,non-habitable
Kepler-771 b,0.8,0.1,1.6343,50,0.1,0.8,1.5979,49,1.6339,non-habitable
Kepler-772 b,0.8,0.1,1.6343,49,0.1,0.8,1.4479,49,1.6324,non-habitable
Kepler-773 b,0.7,0.2,1.2871,49,0.1,0.8,1.8732,49,1.293,non-habitable
Kepler-775 b,0.8,0.1,1.1398,49,0.1,0.8,2.3252,50,1.1517,non-habitable
Kepler-776 b,0.8,0.1,1.2121,49,0.1,0.8,1.4369,50,1.2143,non-habitable
Kepler-777 b,0.7,0.2,1.3147,50,0.1,0.8,1.0941,49,1.3125,non-habitable
Kepler-778 b,0.8,0.1,1.5303,49,0.1,0.8,1.6033,49,1.531,non-habitable
Kepler-779 b,0.1,0.1,0.9757,50,0.1,0.8,0.8719,49,0.9747,non-habitable
Kepler-780 b,0.1,0.1,0.9702,49,0.1,0.8,2.7429,49,0.9879,non-habitable
Kepler-783 b,0.1,0.1,0.9551,49,0.1,0.8,1.5461,49,0.961,non-habitable
Kepler-784 b,0.8,0.1,1.4517,49,0.1,0.8,1.1996,49,1.4492,non-habitable
Kepler-786 b,0.8,0.1,2.1391,50,0.1,0.7,0.8147,49,2.1259,non-habitable
Kepler-787 b,0.8,0.1,1.2121,49,0.1,0.7,1.5743,49,1.2157,non-habitable
Kepler-789 b,0.8,0.1,1.8825,49,0.1,0.8,1.6226,49,1.8799,non-habitable
Kepler-790 b,0.8,0.1,1.9235,49,0.1,0.8,1.2381,49,1.9166,non-habitable
Kepler-792 b,0.8,0.1,1.7532,50,0.1,0.8,1.5548,49,1.7512,non-habitable
Kepler-793 b,0.8,0.1,1.2838,49,0.1,0.8,1.7626,49,1.2886,non-habitable
Kepler-794 b,0.8,0.1,1.874,49,0.1,0.8,1.6636,49,1.8719,non-habitable
Kepler-795 b,0.8,0.1,1.5303,49,0.1,0.8,1.0948,49,1.5259,non-habitable
Kepler-796 b,0.8,0.1,1.2285,50,0.1,0.8,1.5979,50,1.2322,non-habitable
Kepler-797 b,0.8,0.1,1.9235,49,0.1,0.8,1.1704,49,1.916,non-habitable
Kepler-798 b,0.8,0.1,2.1044,51,0.1,0.8,1.6519,52,2.0999,non-habitable
Kepler-801 b,0.8,0.1,1.7775,50,0.1,0.8,1.066,49,1.7704,non-habitable
Kepler-804 b,0.8,0.1,1.7375,49,0.1,0.8,1.4108,50,1.7342,non-habitable
Kepler-804 c,0.8,0.1,1.1001,50,0.1,0.8,1.4445,50,1.1035,non-habitable
Kepler-806 b,0.8,0.1,1.1001,49,0.1,0.8,1.5649,49,1.1047,non-habitable
Kepler-808 b,0.8,0.1,1.3563,49,0.1,0.8,2.2638,49,1.3654,non-habitable
Kepler-810 b,0.8,0.1,1.729,50,0.1,0.8,1.8688,49,1.7304,non-habitable
Kepler-813 b,0.7,0.2,1.8166,53,0.1,0.8,1.2741,49,1.8112,non-habitable
Kepler-814 b,0.8,0.1,1.8825,49,0.1,0.8,1.9345,49,1.883,non-habitable
Kepler-821 b,0.8,0.1,1.2361,50,0.1,0.8,1.8828,49,1.2426,non-habitable
Kepler-822 b,0.8,0.1,1.6026,49,0.1,0.8,2.0763,49,1.6073,non-habitable
Kepler-823 b,0.8,0.1,1.4429,49,0.1,0.8,1.7744,50,1.4462,non-habitable
Kepler-824 b,0.8,0.1,1.6817,49,0.1,0.8,2.0196,49,1.6851,non-habitable
Kepler-825 b,0.8,0.1,1.4034,49,0.1,0.8,1.9707,49,1.4091,non-habitable
Kepler-825 c,0.8,0.1,1.6573,51,0.1,0.7,1.4643,50,1.6554,non-habitable
Kepler-826 b,0.8,0.1,1.1881,50,0.1,0.8,1.9004,49,1.1952,non-habitable
Kepler-828 b,0.8,0.1,1.396,49,0.1,0.8,2.5481,50,1.4075,non-habitable
Kepler-829 b,0.8,0.1,1.874,52,0.1,0.8,1.6533,49,1.8718,non-habitable
Kepler-830 b,0.8,0.1,1.5463,49,0.1,0.8,1.5314,49,1.5462,non-habitable
Kepler-831 b,0.8,0.1,1.2045,50,0.1,0.8,1.6175,49,1.2086,non-habitable
Kepler-832 b,0.8,0.1,1.8343,49,0.1,0.8,1.5763,51,1.8317,non-habitable
Kepler-833 b,0.8,0.1,1.8017,49,0.1,0.8,0.9313,49,1.793,non-habitable
Kepler-834 b,0.8,0.1,1.8017,49,0.1,0.8,1.0612,50,1.7943,non-habitable
Kepler-842 b,0.8,0.1,1.4677,49,0.1,0.8,2.0115,49,1.4731,non-habitable
Kepler-844 b,0.8,0.1,1.5303,51,0.1,0.8,1.3887,50,1.5289,non-habitable
Kepler-845 b,0.8,0.1,1.8173,49,0.1,0.8,2.2837,51,1.822,non-habitable
Kepler-846 b,0.8,0.1,2.1795,49,0.1,0.8,1.2636,49,2.1703,non-habitable
Kepler-847 b,0.8,0.1,1.1321,49,0.1,0.8,1.6744,49,1.1375,non-habitable
Kepler-848 b,0.8,0.1,1.5463,52,0.1,0.8,1.7234,50,1.5481,non-habitable
Kepler-850 b,0.8,0.1,1.6098,49,0.1,0.8,1.698,49,1.6107,non-habitable
Kepler-851 b,0.8,0.1,1.5303,49,0.1,0.8,1.4062,50,1.5291,non-habitable
Kepler-853 b,0.8,0.1,1.539,49,0.1,0.8,1.9829,49,1.5434,non-habitable
Kepler-861 b,0.8,0.1,2.0051,49,0.1,0.8,1.6564,49,2.0016,non-habitable
Kepler-862 b,0.8,0.1,1.9559,49,0.1,0.7,1.6196,50,1.9525,non-habitable
Kepler-864 b,0.8,0.1,2.1128,49,0.1,0.8,1.7949,49,2.1096,non-habitable
Kepler-865 b,0.7,0.2,2.1083,49,0.1,0.8,1.3803,49,2.101,non-habitable
Kepler-866 b,0.8,0.1,1.4837,49,0.1,0.8,1.6215,49,1.4851,non-habitable
Kepler-868 b,0.8,0.1,1.8258,52,0.1,0.8,1.7166,49,1.8247,non-habitable
Kepler-872 b,0.8,0.1,1.7775,49,0.1,0.8,2.2362,50,1.7821,non-habitable
Kepler-876 b,0.8,0.1,1.3326,50,0.1,0.7,1.285,49,1.3321,non-habitable
Kepler-877 b,0.7,0.2,1.8021,51,0.1,0.8,1.1577,50,1.7957,non-habitable
Kepler-878 b,0.8,0.1,1.729,51,0.1,0.8,1.0019,49,1.7217,non-habitable
Kepler-881 b,0.8,0.1,1.6098,49,0.1,0.8,1.9285,49,1.613,non-habitable
Kepler-882 b,0.8,0.1,1.1728,50,0.1,0.8,1.6494,49,1.1776,non-habitable
Kepler-883 b,0.8,0.1,1.6098,49,0.1,0.8,1.4953,50,1.6087,non-habitable
Kepler-884 b,0.8,0.1,1.1728,49,0.1,0.8,1.5808,52,1.1769,non-habitable
Kepler-885 b,0.8,0.1,2.1974,49,0.1,0.8,1.571,51,2.1911,non-habitable
Kepler-886 b,0.8,0.1,1.4034,49,0.1,0.8,1.7922,50,1.4073,non-habitable
Kepler-887 b,0.8,0.1,1.6573,49,0.1,0.8,1.4206,50,1.6549,non-habitable
Kepler-887 c,0.8,0.1,1.0924,50,0.1,0.8,1.7058,53,1.0985,non-habitable
Kepler-888 b,0.8,0.1,1.594,49,0.1,0.8,0.8943,49,1.587,non-habitable
Kepler-889 b,0.8,0.1,1.059,52,0.1,0.8,1.9684,53,1.0681,non-habitable
Kepler-895 b,0.8,0.1,1.4121,50,0.1,0.8,1.4102,49,1.4121,non-habitable
Kepler-897 b,0.8,0.1,2.1044,49,0.1,0.8,1.6903,50,2.1003,non-habitable
Kepler-898 b,0.8,0.1,1.3799,49,0.1,0.8,1.1533,49,1.3776,non-habitable
Kepler-900 b,0.8,0.1,1.85,49,0.1,0.8,1.3413,49,1.8449,non-habitable
Kepler-901 b,0.7,0.1,1.244,49,0.1,0.8,1.2617,49,1.2442,non-habitable
Kepler-903 b,0.8,0.1,1.786,49,0.1,0.8,1.4752,50,1.7829,non-habitable
Kepler-904 b,0.8,0.1,1.6026,50,0.1,0.8,2.2753,49,1.6093,non-habitable
Kepler-905 b,0.8,0.1,1.3164,49,0.1,0.8,1.5584,50,1.3188,non-habitable
Kepler-906 b,0.8,0.1,1.874,50,0.1,0.8,1.1097,49,1.8664,non-habitable
Kepler-907 b,0.8,0.1,1.1487,49,0.1,0.8,1.4626,50,1.1518,non-habitable
Kepler-908 b,0.8,0.1,1.164,49,0.1,0.7,2.0912,49,1.1733,non-habitable
Kepler-909 b,0.8,0.1,1.3637,49,0.1,0.8,1.482,50,1.3649,non-habitable
Kepler-910 b,0.1,0.1,0.9611,49,0.1,0.8,2.351,49,0.975,non-habitable
Kepler-913 b,0.8,0.1,1.8343,50,0.1,0.8,1.1407,49,1.8274,non-habitable
Kepler-914 b,0.8,0.1,1.2926,49,0.1,0.8,1.8719,49,1.2984,non-habitable
Kepler-915 b,0.8,0.1,1.3873,49,0.1,0.8,2.0642,49,1.3941,non-habitable
Kepler-916 b,0.8,0.1,1.594,50,0.1,0.8,0.9746,51,1.5878,non-habitable
Kepler-917 b,0.8,0.1,1.7061,49,0.1,0.8,1.8116,49,1.7072,non-habitable
Kepler-918 b,0.8,0.1,1.5781,49,0.1,0.8,1.9154,49,1.5815,non-habitable
Kepler-919 b,0.8,0.1,1.9883,49,0.1,0.8,1.6684,50,1.9851,non-habitable
Kepler-920 b,0.8,0.1,2.1295,53,0.1,0.8,1.5895,49,2.1241,non-habitable
Kepler-922 b,0.8,0.1,1.3238,49,0.1,0.8,2.5632,49,1.3362,non-habitable
Kepler-923 b,0.8,0.1,1.2926,50,0.1,0.7,1.5252,52,1.2949,non-habitable
Kepler-925 b,0.8,0.1,2.0626,49,0.1,0.8,0.9065,53,2.051,non-habitable
Kepler-926 b,0.8,0.1,2.0374,49,0.1,0.8,1.0424,50,2.0274,non-habitable
Kepler-927 b,0.8,0.1,1.5549,52,0.1,0.8,1.5071,49,1.5544,non-habitable
Kepler-928 b,0.8,0.1,1.459,49,0.1,0.8,1.4426,50,1.4588,non-habitable
Kepler-929 b,0.8,0.1,1.0757,49,0.1,0.8,2.6365,49,1.0913,non-habitable
Kepler-930 b,0.8,0.1,1.891,49,0.1,0.7,1.0338,49,1.8824,non-habitable
Kepler-931 b,0.8,0.1,1.2524,49,0.1,0.8,1.3187,49,1.2531,non-habitable
Kepler-932 b,0.8,0.1,1.2838,49,0.1,0.8,1.9602,51,1.2906,non-habitable
Kepler-933 b,0.8,0.1,2.1558,50,0.1,0.8,1.3003,50,2.1472,non-habitable
Kepler-934 b,0.8,0.1,1.85,51,0.1,0.8,0.8401,49,1.8399,non-habitable
Kepler-935 b,0.8,0.1,1.26,49,0.1,0.8,1.3712,49,1.2611,non-habitable
Kepler-936 b,0.8,0.1,1.3401,49,0.1,0.8,1.3236,49,1.3399,non-habitable
Kepler-938 b,0.7,0.2,1.8824,50,0.1,0.8,0.962,51,1.8732,non-habitable
Kepler-939 b,0.8,0.1,1.5853,53,0.1,0.8,1.2335,49,1.5818,non-habitable
Kepler-942 b,0.8,0.1,1.891,49,0.1,0.8,0.8619,49,1.8807,non-habitable
Kepler-946 b,0.8,0.1,1.729,50,0.1,0.8,1.3997,49,1.7257,non-habitable
Kepler-947 b,0.8,0.1,2.0051,52,0.1,0.8,1.1274,49,1.9963,non-habitable
Kepler-948 b,0.8,0.1,1.6659,49,0.1,0.8,1.5497,49,1.6647,non-habitable
Kepler-953 c,0.8,0.1,1.1398,50,0.1,0.8,1.3745,50,1.1421,non-habitable
Kepler-954 b,0.8,0.1,2.0458,50,0.1,0.8,1.1379,50,2.0367,non-habitable
Kepler-958 b,0.8,0.1,1.8343,51,0.1,0.8,1.3995,51,1.83,non-habitable
Kepler-960 b,0.8,0.1,2.0135,49,0.1,0.8,1.6438,49,2.0098,non-habitable
Kepler-962 b,0.8,0.1,1.7618,50,0.1,0.8,1.3243,49,1.7574,non-habitable
Kepler-964 b,0.8,0.1,1.8825,49,0.1,0.8,1.2828,49,1.8765,non-habitable
Kepler-967 b,0.8,0.1,2.0723,49,0.1,0.8,1.2635,49,2.0642,non-habitable
Kepler-968 b,0.8,0.1,1.7775,51,0.1,0.8,1.4862,50,1.7746,non-habitable
Kepler-968 c,0.8,0.1,1.539,49,0.1,0.8,1.2966,49,1.5366,non-habitable
Kepler-969 b,0.8,0.1,1.8428,51,0.1,0.8,0.9796,49,1.8342,non-habitable
Kepler-969 c,0.1,0.1,0.984,49,0.1,0.8,1.8809,49,0.993,non-habitable
Kepler-971 b,0.8,0.1,1.891,49,0.1,0.8,1.4161,52,1.8863,non-habitable
Kepler-973 b,0.8,0.1,1.7532,49,0.1,0.8,0.8773,49,1.7444,non-habitable
Kepler-974 b,0.8,0.1,1.4429,52,0.1,0.8,1.0838,50,1.4393,non-habitable
Kepler-975 b,0.8,0.1,1.3711,49,0.1,0.8,1.7845,49,1.3752,non-habitable
Kepler-981 b,0.8,0.1,2.0374,49,0.1,0.8,1.8735,50,2.0358,non-habitable
Kepler-982 b,0.8,0.1,1.9883,49,0.1,0.8,1.5653,49,1.9841,non-habitable
Kepler-983 b,0.8,0.1,2.0806,49,0.1,0.8,1.0541,52,2.0703,non-habitable
Kepler-984 b,0.8,0.1,1.8825,49,0.1,0.8,1.0221,49,1.8739,non-habitable
Kepler-986 b,0.8,0.1,2.0806,49,0.1,0.8,1.0014,50,2.0698,non-habitable
Kepler-988 b,0.8,0.1,1.8428,49,0.1,0.8,0.8614,49,1.833,non-habitable
Kepler-989 b,0.8,0.1,1.9559,49,0.1,0.8,1.3858,49,1.9502,non-habitable
Kepler-990 c,0.8,0.1,1.4034,51,0.1,0.8,3.2532,49,1.4219,non-habitable
Kepler-992 b,0.8,0.1,1.4837,49,0.1,0.8,1.007,49,1.4789,non-habitable
Kepler-994 b,0.8,0.1,1.4677,49,0.1,0.8,1.6143,51,1.4692,non-habitable
Kepler-996 b,0.8,0.1,1.7703,50,0.1,0.8,2.0885,49,1.7735,non-habitable
Kepler-997 b,0.7,0.2,1.2352,49,0.1,0.8,2.4397,49,1.2472,non-habitable
Kepler-998 b,0.8,0.1,2.0458,49,0.1,0.8,1.9639,49,2.045,non-habitable
Kepler-999 b,0.7,0.2,1.9793,49,0.1,0.8,2.2147,53,1.9817,non-habitable
Kepler-1002 b,0.8,0.1,1.5549,50,0.1,0.8,2.2342,49,1.5617,non-habitable
Kepler-1003 b,0.8,0.1,1.6098,49,0.1,0.8,2.1272,50,1.615,non-habitable
Kepler-1005 b,0.8,0.1,1.3873,49,0.1,0.8,1.6608,49,1.39,non-habitable
Kepler-1006 b,0.8,0.1,1.4121,49,0.1,0.8,1.0638,49,1.4086,non-habitable
Kepler-1007 b,0.8,0.1,1.3326,49,0.1,0.8,1.3,49,1.3323,non-habitable
Kepler-1008 b,0.8,0.1,1.2121,49,0.1,0.8,1.1367,49,1.2113,non-habitable
Kepler-1009 b,0.8,0.1,1.9235,49,0.1,0.8,0.9898,50,1.9142,non-habitable
Kepler-1010 b,0.8,0.1,2.0458,51,0.1,0.8,1.0147,51,2.0355,non-habitable
Kepler-1012 b,0.8,0.1,1.221,49,0.1,0.8,1.5613,53,1.2244,non-habitable
Kepler-1013 b,0.7,0.2,1.8252,50,0.1,0.8,1.0844,50,1.8178,non-habitable
Kepler-1014 b,0.8,0.1,2.1044,49,0.1,0.8,1.25,49,2.0959,non-habitable
Kepler-1016 b,0.8,0.1,1.9235,49,0.1,0.8,2.3577,49,1.9278,non-habitable
Kepler-1017 b,0.8,0.1,1.7775,49,0.1,0.8,1.5148,49,1.7749,non-habitable
Kepler-1019 b,0.8,0.1,1.3563,49,0.1,0.8,1.7497,50,1.3602,non-habitable
Kepler-1020 b,0.8,0.1,2.0051,49,0.1,0.8,0.7787,49,1.9928,non-habitable
Kepler-1021 b,0.8,0.1,2.0542,52,0.1,0.8,1.3265,49,2.0469,non-habitable
Kepler-1022 b,0.8,0.1,2.0806,50,0.1,0.8,1.1371,49,2.0712,non-habitable
Kepler-1025 b,0.8,0.1,1.7703,50,0.1,0.8,1.1753,49,1.7644,non-habitable
Kepler-1026 b,0.8,0.1,1.9559,49,0.1,0.8,0.9267,49,1.9456,non-habitable
Kepler-1027 b,0.1,0.1,0.9702,49,0.1,0.8,1.8578,50,0.9791,non-habitable
Kepler-1028 b,0.8,0.1,1.2524,50,0.1,0.8,1.8902,49,1.2588,non-habitable
Kepler-1029 b,0.7,0.1,1.1618,49,0.1,0.8,1.4573,49,1.1648,non-habitable
Kepler-1030 b,0.8,0.1,2.1795,51,0.1,0.8,1.1166,51,2.1689,non-habitable
Kepler-1031 b,0.1,0.1,0.9691,50,0.1,0.7,2.0622,49,0.98,non-habitable
Kepler-1032 b,0.8,0.1,1.6817,49,0.1,0.8,1.5323,50,1.6802,non-habitable
Kepler-1034 b,0.7,0.2,1.9139,49,0.1,0.8,1.2871,50,1.9076,non-habitable
Kepler-1035 b,0.8,0.1,1.1167,49,0.1,0.8,1.9412,49,1.1249,non-habitable
Kepler-1037 b,0.8,0.1,1.2121,49,0.1,0.8,2.145,49,1.2214,non-habitable
Kepler-1039 b,0.8,0.1,1.3563,49,0.1,0.8,2.1419,49,1.3642,non-habitable
Kepler-1040 b,0.8,0.1,1.85,50,0.1,0.8,0.7197,50,1.8387,non-habitable
Kepler-1042 b,0.8,0.1,1.9319,51,0.1,0.8,1.2292,49,1.9249,non-habitable
Kepler-1046 b,0.7,0.2,1.4918,49,0.1,0.8,1.39,49,1.4908,non-habitable
Kepler-1047 b,0.8,0.1,1.85,49,0.1,0.8,1.0293,49,1.8418,non-habitable
Kepler-1047 c,0.1,0.1,0.984,50,0.1,0.8,1.9092,52,0.9933,non-habitable
Kepler-1048 b,0.8,0.1,1.475,51,0.1,0.8,1.2389,50,1.4726,non-habitable
Kepler-1049 b,0.1,0.1,0.98,49,0.1,0.8,1.1071,49,0.9813,non-habitable
Kepler-1050 b,0.8,0.1,1.4677,49,0.1,0.8,1.4044,53,1.4671,non-habitable
Kepler-1050 c,0.8,0.1,1.3711,49,0.1,0.7,1.163,49,1.369,non-habitable
Kepler-1053 b,0.1,0.1,0.982,49,0.1,0.8,1.4737,52,0.9869,non-habitable
Kepler-1055 b,0.8,0.1,1.1728,49,0.1,0.7,1.7178,49,1.1782,non-habitable
Kepler-1059 b,0.8,0.1,1.5622,49,0.1,0.8,1.5372,50,1.562,non-habitable
Kepler-1060 b,0.8,0.1,2.089,49,0.1,0.8,1.0692,49,2.0788,non-habitable
Kepler-1061 b,0.8,0.1,1.7703,49,0.1,0.8,2.2241,49,1.7748,non-habitable
Kepler-1062 b,0.8,0.1,1.594,50,0.1,0.8,1.1561,49,1.5896,non-habitable
Kepler-1063 b,0.8,0.1,1.3799,49,0.1,0.8,1.4141,51,1.3802,non-habitable
Kepler-1064 b,0.8,0.1,1.4269,49,0.1,0.8,1.1011,50,1.4236,non-habitable
Kepler-1065 c,0.8,0.1,1.4677,50,0.1,0.8,2.0411,49,1.4734,non-habitable
Kepler-1066 b,0.8,0.1,2.0806,50,0.1,0.7,2.0069,51,2.0799,non-habitable
Kepler-1067 b,0.1,0.1,0.9587,49,0.1,0.8,2.4913,49,0.974,non-habitable
Kepler-1069 b,0.8,0.1,1.4677,53,0.1,0.8,1.1615,49,1.4646,non-habitable
Kepler-1070 b,0.8,0.1,1.5622,49,0.1,0.8,1.9354,49,1.5659,non-habitable
Kepler-1071 b,0.7,0.2,2.0073,49,0.1,0.8,1.5418,49,2.0026,non-habitable
Kepler-1072 b,0.8,0.1,1.4517,49,0.1,0.8,2.7129,49,1.4643,non-habitable
Kepler-1073 b,0.8,0.1,2.029,49,0.1,0.8,1.6174,50,2.0249,non-habitable
Kepler-1073 c,0.8,0.1,1.4984,49,0.1,0.8,1.8618,50,1.502,non-habitable
Kepler-1074 b,0.8,0.1,1.1881,49,0.1,0.8,1.054,50,1.1868,non-habitable
Kepler-1075 b,0.8,0.1,1.3238,50,0.1,0.8,1.4839,49,1.3254,non-habitable
Kepler-1076 b,0.1,0.1,0.9587,49,0.1,0.7,1.1021,53,0.9601,non-habitable
Kepler-1078 b,0.8,0.1,1.7061,49,0.1,0.8,1.9563,49,1.7086,non-habitable
Kepler-1079 b,0.8,0.1,1.4837,52,0.1,0.8,1.5203,49,1.4841,non-habitable
