Name,Cls,r,d,t,v,e,Rho,Eta,CEESA,Iter
HD 3167 b,non-habitable,0.4037,0.0365,0.2029,0.3524,0.0045,0.3336,1,2.1238,98
HD 7924 c,non-habitable,0.1367,0.1391,0.3903,0.0157,0.3181,0.9549,1,3.1745,92
HD 7924 d,non-habitable,0.3141,0.0809,0.0935,0.0558,0.4557,0.8116,1,6.118,87
HD 20794 b,non-habitable,0.015,0.0323,0.3865,0.3992,0.167,0.9301,1,1.5207,87
HD 20794 c,non-habitable,0.1012,0.0774,0.6908,0.0712,0.0594,0.7565,1,1.5804,94
HD 20794 d,non-habitable,0.353,0.2449,0.0124,0.3005,0.0891,0.9663,1,1.3731,79
HD 39194 b,non-habitable,0.2859,0.0919,0.089,0.0758,0.4575,0.5862,1,5.3602,89
HD 39194 c,non-habitable,0.0573,0.046,0.1257,0.1297,0.6414,0.0824,1,4.223,99
HD 39194 d,non-habitable,0.3314,0.0225,0.0616,0.1106,0.4738,0.2224,1,4.6902,95
HD 40307 b,non-habitable,0.2647,0.0086,0.2602,0.0676,0.399,0.9289,1,5.8487,99
HD 40307 c,non-habitable,0.0096,0.1383,0.3462,0.238,0.2679,0.9826,1,2.3732,91
HD 40307 d,non-habitable,0.0698,0.1041,0.1683,0.2089,0.4489,0.5345,1,2.7517,98
HD 40307 e,non-habitable,0.069,0.0912,0.0973,0.1733,0.5692,0.7685,1,5.2916,94
HD 40307 f,non-habitable,0.2853,0.1609,0.0526,0.443,0.0582,0.3416,1,1.4186,73
HD 40307 g,psychroplanet,0.1556,0.0098,0.0812,0.3023,0.4511,0.6116,1,7.1463,94
HD 85512 b,non-habitable,0.0517,0.4779,0.0333,0.0033,0.4337,0.5379,1,2.9042,92
HD 93385 b,non-habitable,0.0962,0.2674,0.1948,0.0798,0.3618,0.8064,1,4.233,87
HD 96700 b,non-habitable,0.1087,0.1834,0.1766,0.041,0.4903,0.706,1,3.8921,87
HD 97658 b,non-habitable,0.1114,0.0876,0.1173,0.308,0.3757,0.6865,1,2.8195,79
HD 106315 b,non-habitable,0.1295,0.0408,0.0892,0.1269,0.6136,0.6811,1,10.6252,94
HD 134606 b,non-habitable,0.1747,0.0778,0.1667,0.1081,0.4727,0.8368,1,5.1603,89
HD 136352 b,non-habitable,0.0971,0.0775,0.3405,0.1293,0.3555,0.926,1,5.178,95
HD 136352 d,non-habitable,0.1315,0.2591,0.0153,0.0335,0.5606,0.6639,1,12.5836,107
HD 154088 b,non-habitable,0.1034,0.0669,0.237,0.2084,0.3842,0.4876,1,7.0975,100
HD 156668 b,non-habitable,0.2064,0.0825,0.4321,0.2673,0.0118,0.1025,1,1.8171,105
HD 175607 b,non-habitable,0.0009,0.0604,0.3908,0.0305,0.5174,0.2632,1,3.6776,78
HD 181433 b,non-habitable,0.379,0.0341,0.1451,0.1172,0.3246,0.6627,1,7.1703,99
HD 215152 b,non-habitable,0.0828,0.2416,0.126,0.1233,0.4263,0.4811,1,6.6305,102
HD 215152 c,non-habitable,0.4774,0.0055,0.0021,0.105,0.4099,0.9563,1,9.7678,109
HD 215497 b,non-habitable,0.0455,0.1876,0.3119,0.0651,0.39,0.2842,1,4.2819,92
HD 219134 b,non-habitable,0.0955,0.2381,0.4382,0.0502,0.178,0.8115,1,1.7965,100
HD 219134 c,non-habitable,0.1403,0.0835,0.3061,0.4507,0.0195,0.511,1,1.7193,97
HD 219134 e,non-habitable,0.2621,0.1386,0.0499,0.238,0.3115,0.82,1,6.294,105
HIP 68468 b,non-habitable,0.0929,0.28,0.1041,0.017,0.506,0.608,1,10.6892,104
HIP 116454 b,non-habitable,0.1262,0.1185,0.1031,0.1924,0.4597,0.8393,1,6.1236,89
K2-3 b,non-habitable,0.3191,0.1539,0.2198,0.2134,0.0938,0.6996,1,1.7672,79
K2-3 c,non-habitable,0.2894,0.1662,0.1203,0.3619,0.0621,0.762,1,1.5909,87
K2-3 d,non-habitable,0.06,0.3231,0.044,0.2242,0.3487,0.8579,1,2.7643,87
K2-4 b,non-habitable,0.436,0.0473,0.0896,0.3299,0.0973,0.9846,1,2.2622,80
K2-5 b,non-habitable,0.0027,0.022,0.4462,0.4948,0.0343,0.5495,1,1.9689,89
K2-5 c,non-habitable,0.276,0.1948,0.2619,0.2437,0.0237,0.914,1,2.0326,86
K2-6 b,non-habitable,0.388,0.1052,0.0778,0.4002,0.0289,0.8109,1,2.606,86
K2-8 c,non-habitable,0.3062,0.2184,0.3128,0.1605,0.0021,0.9538,1,2.5049,77
K2-9 b,thermoplanet,0.1249,0.2192,0.0949,0.5146,0.0465,0.3218,1,1.8532,85
K2-10 b,non-habitable,0.0712,0.1504,0.0622,0.2977,0.4185,0.5609,1,7.0936,93
K2-12 b,non-habitable,0.174,0.1495,0.2994,0.2852,0.0919,0.947,1,2.4397,92
K2-13 b,non-habitable,0.473,0.0763,0.0022,0.4351,0.0135,0.8101,1,1.8914,85
