Name,Cls,r,d,t,v,e,Rho,Eta,CEESA,Iter
Kepler-90 b,non-habitable,0.2585,0.3404,0.3326,0.0034,0.0652,0.8952,1,1.8763,88
Kepler-90 c,non-habitable,0.0757,0.1997,0.3635,0.3372,0.0238,0.8776,1,1.8697,82
Kepler-92 b,non-habitable,0.2155,0.0084,0.1084,0.3371,0.3307,0.3012,1,5.4014,84
Kepler-92 c,non-habitable,0.2108,0.0792,0.3415,0.0846,0.2839,0.8386,1,2.2972,83
Kepler-92 d,non-habitable,0.0239,0.0886,0.2571,0.3286,0.3018,0.5372,1,2.7367,78
Kepler-93 b,non-habitable,0.25,0.0126,0.5269,0.143,0.0676,0.7153,1,2.4653,93
Kepler-95 b,non-habitable,0.2981,0.044,0.4017,0.2243,0.032,0.8419,1,2.7859,88
Kepler-96 b,non-habitable,0.391,0.0058,0.4326,0.1343,0.0363,0.3328,1,2.2298,88
Kepler-100 b,non-habitable,0.0412,0.1685,0.495,0.0199,0.2753,0.1279,1,4.5373,84
Kepler-100 d,non-habitable,0.2985,0.0871,0.1774,0.0078,0.4291,0.943,1,10.2497,93
Kepler-101 c,non-habitable,0.0986,0.0138,0.3269,0.4373,0.1234,0.9874,1,2.133,82
Kepler-102 b,non-habitable,0.1336,0.5093,0.2035,0.1399,0.0137,0.4512,1,2.4813,99
Kepler-102 c,non-habitable,0.0103,0.3131,0.1637,0.2027,0.3103,0.9355,1,5.1808,92
Kepler-102 d,non-habitable,0.292,0.2195,0.256,0.2154,0.0171,0.5288,1,1.5682,101
Kepler-102 e,non-habitable,0.1422,0.1705,0.0309,0.6317,0.0248,0.8865,1,1.7736,94
Kepler-102 f,non-habitable,0.051,0.312,0.3974,0.2362,0.0035,0.9455,1,1.2007,81
Kepler-105 c,non-habitable,0.0871,0.3449,0.3469,0.1503,0.0708,0.8577,1,2.3266,94
Kepler-106 b,non-habitable,0.1345,0.2457,0.2977,0.2782,0.0439,0.8617,1,1.275,90
Kepler-106 c,non-habitable,0.3324,0.0137,0.2811,0.3201,0.0527,0.7043,1,2.2426,80
Kepler-106 d,non-habitable,0.0073,0.2222,0.3216,0.284,0.1649,0.8145,1,3.3907,89
Kepler-106 e,non-habitable,0.554,0.072,0.0835,0.2097,0.0809,0.5241,1,1.8792,94
Kepler-107 b,non-habitable,0.025,0.4139,0.4038,0.1242,0.0332,0.7948,1,2.6861,91
Kepler-107 c,non-habitable,0.322,0.0109,0.5304,0.1169,0.0198,0.912,1,3.1423,87
Kepler-107 d,non-habitable,0.1252,0.0937,0.3436,0.0606,0.377,0.3734,1,3.9722,94
Kepler-110 b,non-habitable,0.3574,0.1285,0.2401,0.2395,0.0344,0.8659,1,2.0149,89
Kepler-110 c,non-habitable,0.3139,0.151,0.2373,0.2749,0.0229,0.9472,1,2.193,81
Kepler-111 b,non-habitable,0.0503,0.0313,0.4647,0.3242,0.1295,0.6558,1,2.5181,83
Kepler-112 b,non-habitable,0.2947,0.2918,0.2753,0.1278,0.0104,0.4876,1,2.2959,99
Kepler-112 c,non-habitable,0.2735,0.0724,0.2962,0.3284,0.0295,0.5011,1,2.2862,84
Kepler-113 b,non-habitable,0.1935,0.2007,0.2886,0.3116,0.0055,0.4544,1,2.3209,96
Kepler-113 c,non-habitable,0.1729,0.2285,0.2629,0.3296,0.0061,0.5074,1,1.7686,91
Kepler-114 b,non-habitable,0.114,0.4165,0.0003,0.3836,0.0857,0.9338,1,2.8182,87
Kepler-114 c,non-habitable,0.09,0.4077,0.0787,0.3472,0.0765,0.7852,1,5.7412,93
Kepler-114 d,non-habitable,0.3095,0.0345,0.2512,0.3846,0.0202,0.9622,1,1.81,82
Kepler-115 b,non-habitable,0.0858,0.1874,0.2864,0.1849,0.2556,0.9152,1,1.8977,89
Kepler-116 c,non-habitable,0.2281,0.1778,0.3291,0.1969,0.0681,0.5524,1,2.3163,85
Kepler-118 b,non-habitable,0.0815,0.1613,0.4714,0.2464,0.0395,0.4426,1,2.26,87
Kepler-119 c,non-habitable,0.1338,0.0813,0.3784,0.3748,0.0317,0.8692,1,1.8266,93
Kepler-120 b,non-habitable,0.2323,0.2552,0.1978,0.2718,0.043,0.9671,1,1.957,81
Kepler-120 c,non-habitable,0.1456,0.3425,0.2852,0.2247,0.002,0.925,1,1.4041,79
Kepler-121 b,non-habitable,0.2405,0.1012,0.339,0.3165,0.0028,0.9629,1,2.8657,88
Kepler-121 c,non-habitable,0.3534,0.0062,0.2371,0.3561,0.0472,0.7379,1,2.1393,82
Kepler-122 b,non-habitable,0.1773,0.2526,0.2675,0.2731,0.0295,0.8133,1,2.6795,85
Kepler-122 d,non-habitable,0.2193,0.1562,0.4325,0.1675,0.0246,0.7852,1,2.3123,81
Kepler-123 c,non-habitable,0.1412,0.0261,0.2457,0.5864,0.0006,0.9121,1,1.7474,95
Kepler-124 b,non-habitable,0.127,0.1624,0.5763,0.1059,0.0284,0.6574,1,1.9638,92
Kepler-124 c,non-habitable,0.1898,0.3484,0.3442,0.0672,0.0503,0.8541,1,1.5491,81
Kepler-124 d,non-habitable,0.2593,0.1947,0.4295,0.0976,0.0188,0.7126,1,1.2336,87
Kepler-125 b,non-habitable,0.2551,0.2577,0.1525,0.3331,0.0016,0.5606,1,2.3076,94
Kepler-125 c,non-habitable,0.482,0.0766,0.3886,0.0168,0.036,0.4631,1,1.0675,78
Kepler-126 b,non-habitable,0.0387,0.1811,0.1873,0.2099,0.3831,0.9238,1,2.7782,83
Kepler-126 c,non-habitable,0.1061,0.2087,0.2214,0.1435,0.3203,0.8719,1,4.5674,90
Kepler-127 b,non-habitable,0.0381,0.2388,0.3574,0.059,0.3068,0.5523,1,7.1459,98
Kepler-127 c,non-habitable,0.0759,0.0365,0.486,0.3616,0.04,0.4223,1,2.6545,72
Kepler-128 b,non-habitable,0.0843,0.498,0.0467,0.082,0.289,0.9825,1,10.8681,102
Kepler-128 c,non-habitable,0.1828,0.2924,0.1517,0.3413,0.0318,0.5288,1,7.1518,107
Kepler-129 b,non-habitable,0.0752,0.0843,0.4049,0.3457,0.09,0.7155,1,2.7121,95
Kepler-130 b,non-habitable,0.1184,0.0487,0.242,0.0434,0.5474,0.5833,1,5.3368,88
Kepler-130 d,non-habitable,0.2747,0.2101,0.1046,0.1105,0.3001,0.9153,1,13.7962,98
Kepler-131 b,non-habitable,0.0054,0.1022,0.5661,0.3146,0.0116,0.9088,1,2.442,97
Kepler-131 c,non-habitable,0.0576,0.3959,0.4702,0.0412,0.0352,0.4656,1,5.2816,93
Kepler-132 b,non-habitable,0.0283,0.1714,0.4126,0.1593,0.2284,0.971,1,1.9972,81
Kepler-132 c,non-habitable,0.0613,0.0953,0.6078,0.0896,0.146,0.7071,1,2.4364,107
Kepler-132 d,non-habitable,0.199,0.101,0.3249,0.3368,0.0384,0.8118,1,1.8382,90
Kepler-133 b,non-habitable,0.1888,0.067,0.3331,0.3694,0.0417,0.8262,1,2.3187,85
Kepler-134 b,non-habitable,0.0548,0.1428,0.6868,0.0662,0.0494,0.5459,1,3.0967,93
Kepler-134 c,non-habitable,0.1473,0.1749,0.5346,0.1046,0.0386,0.9682,1,2.2854,86
Kepler-135 b,non-habitable,0.2557,0.1725,0.3996,0.0399,0.1324,0.9298,1,2.3755,97
Kepler-135 c,non-habitable,0.3047,0.1365,0.3227,0.1003,0.1358,0.6676,1,1.4805,88
Kepler-136 b,non-habitable,0.0852,0.0818,0.3554,0.4725,0.005,0.7796,1,2.6267,86
Kepler-136 c,non-habitable,0.0653,0.0632,0.8243,0.0102,0.0371,0.3586,1,2.6169,101
Kepler-137 b,non-habitable,0.1648,0.3003,0.2681,0.261,0.0058,0.3333,1,1.5616,89
Kepler-137 c,non-habitable,0.3582,0.1673,0.1299,0.332,0.0126,0.3935,1,1.7907,91
Kepler-138 b,non-habitable,0.045,0.1369,0.5698,0.0293,0.219,0.7927,1,0.9371,77
Kepler-138 c,non-habitable,0.017,0.0076,0.1475,0.442,0.386,0.8464,1,1.6939,86
Kepler-138 d,non-habitable,0.5392,0.026,0.1831,0.0954,0.1562,0.2415,1,1.3285,94
Kepler-140 b,non-habitable,0.1554,0.197,0.5153,0.0577,0.0747,0.7722,1,3.0054,87
Kepler-140 c,non-habitable,0.448,0.3226,0.1346,0.0792,0.0155,0.7925,1,1.5667,83
Kepler-141 b,non-habitable,0.2118,0.1304,0.5303,0.0701,0.0574,0.9204,1,2.0899,80
Kepler-141 c,non-habitable,0.3397,0.305,0.2982,0.0085,0.0485,0.9807,1,1.6013,84
Kepler-142 b,non-habitable,0.1796,0.1191,0.3292,0.307,0.0651,0.6567,1,2.8383,92
Kepler-142 d,non-habitable,0.0162,0.1391,0.3641,0.4486,0.032,0.3879,1,2.0462,96
Kepler-143 b,non-habitable,0.1911,0.1387,0.3728,0.2866,0.0107,0.477,1,2.6594,85
Kepler-144 b,non-habitable,0.133,0.029,0.2991,0.4169,0.122,0.8762,1,1.9193,94
Kepler-144 c,non-habitable,0.0217,0.1192,0.5783,0.1882,0.0927,0.484,1,2.0639,97
Kepler-145 b,non-habitable,0.1471,0.25,0.2034,0.1016,0.2979,0.7075,1,7.989,108
Kepler-145 c,non-habitable,0.3679,0.0509,0.1427,0.1269,0.3116,0.7078,1,4.3724,88
Kepler-147 b,non-habitable,0.3084,0.0189,0.4549,0.0881,0.1296,0.6716,1,2.0012,89
Kepler-147 c,non-habitable,0.1603,0.2384,0.1936,0.2857,0.1219,0.9166,1,2.1422,88
Kepler-148 b,non-habitable,0.0735,0.1749,0.4138,0.2374,0.1004,0.8851,1,2.6249,90
Kepler-149 c,non-habitable,0.2858,0.097,0.2089,0.3527,0.0556,0.8977,1,1.4926,83
Kepler-150 b,non-habitable,0.2504,0.0182,0.3653,0.1302,0.2359,0.9675,1,1.9447,97
Kepler-151 c,non-habitable,0.1652,0.1261,0.2572,0.4455,0.0059,0.6072,1,2.0969,83
Kepler-152 c,non-habitable,0.3192,0.0728,0.3098,0.2907,0.0075,0.2886,1,2.0276,87
Kepler-154 b,non-habitable,0.1818,0.2052,0.17,0.4232,0.0198,0.8173,1,2.2237,86
Kepler-154 e,non-habitable,0.2457,0.0223,0.3031,0.2665,0.1624,0.894,1,1.9898,79
Kepler-154 f,non-habitable,0.1478,0.091,0.36,0.1613,0.2399,0.9994,1,1.6751,90
Kepler-155 b,non-habitable,0.2966,0.1433,0.1301,0.4079,0.0221,0.4441,1,2.0335,80
Kepler-155 c,non-habitable,0.3345,0.2653,0.1066,0.2931,0.0006,0.3406,1,2.0134,85
Kepler-156 b,non-habitable,0.3895,0.0193,0.222,0.354,0.0151,0.2613,1,2.4995,99
Kepler-157 b,non-habitable,0.428,0.1161,0.3116,0.1228,0.0215,0.9892,1,2.5484,86
Kepler-157 c,non-habitable,0.3286,0.2459,0.2567,0.1307,0.0381,0.5989,1,2.1068,94
Kepler-158 b,non-habitable,0.2736,0.0448,0.2154,0.4232,0.043,0.7245,1,2.0451,84
Kepler-158 c,non-habitable,0.3974,0.1273,0.1852,0.2608,0.0293,0.8885,1,1.7406,90
Kepler-159 b,non-habitable,0.3578,0.1544,0.0884,0.3957,0.0037,0.1372,1,2.3687,89
Kepler-160 b,non-habitable,0.2576,0.076,0.3482,0.2652,0.053,0.5987,1,2.0668,85
Kepler-161 b,non-habitable,0.0162,0.1557,0.4696,0.3052,0.0533,0.7555,1,2.4296,91
Kepler-161 c,non-habitable,0.2056,0.0113,0.3126,0.3067,0.1639,0.7249,1,1.9084,88
Kepler-162 b,non-habitable,0.3296,0.2357,0.4001,0.0141,0.0205,0.3044,1,1.7332,92
Kepler-163 b,non-habitable,0.2925,0.0631,0.5778,0.0325,0.034,0.5091,1,2.0141,82
Kepler-163 c,non-habitable,0.158,0.212,0.2002,0.3998,0.03,0.7154,1,2.2008,82
Kepler-164 b,non-habitable,0.2694,0.0302,0.5627,0.0368,0.1009,0.8084,1,2.6691,78
Kepler-164 d,non-habitable,0.2232,0.18,0.2582,0.2836,0.055,0.7759,1,2.3184,99
Kepler-165 b,non-habitable,0.2485,0.198,0.1966,0.2892,0.0677,0.9973,1,2.2549,81
Kepler-165 c,non-habitable,0.0144,0.1607,0.3495,0.4743,0.0011,0.4339,1,2.3067,83
Kepler-166 b,non-habitable,0.245,0.3076,0.2581,0.1834,0.0059,0.581,1,2.2122,90
Kepler-166 c,non-habitable,0.3557,0.0309,0.271,0.3232,0.0192,0.5452,1,2.2822,88
Kepler-167 b,non-habitable,0.364,0.0251,0.3802,0.2167,0.014,0.9521,1,1.9736,89
Kepler-167 c,non-habitable,0.3358,0.1461,0.2722,0.2394,0.0065,0.285,1,1.5177,86
Kepler-167 d,non-habitable,0.3068,0.0182,0.3836,0.1869,0.1045,0.9562,1,1.2917,90
Kepler-168 b,non-habitable,0.0133,0.284,0.3242,0.3332,0.0453,0.8042,1,2.1223,90
Kepler-169 b,non-habitable,0.2474,0.071,0.4276,0.2355,0.0185,0.4158,1,1.8372,99
Kepler-169 c,non-habitable,0.1264,0.0212,0.4209,0.238,0.1936,0.8289,1,1.5369,81
Kepler-169 d,non-habitable,0.3515,0.1099,0.4807,0.0502,0.0077,0.6792,1,1.7856,90
Kepler-169 e,non-habitable,0.3691,0.0923,0.3213,0.2055,0.0118,0.8954,1,2.191,79
Kepler-171 b,non-habitable,0.0214,0.3202,0.2634,0.3438,0.0511,0.7913,1,2.4636,93
Kepler-171 d,non-habitable,0.2506,0.0369,0.2833,0.3475,0.0817,0.9431,1,1.7535,89
Kepler-172 b,non-habitable,0.2465,0.0982,0.11,0.3458,0.1995,0.8293,1,2.1362,88
Kepler-172 d,non-habitable,0.386,0.0926,0.0003,0.4562,0.0649,0.9937,1,2.2498,88
Kepler-173 b,non-habitable,0.1239,0.0788,0.3178,0.3014,0.1781,0.99,1,1.9539,96
Kepler-173 c,non-habitable,0.0932,0.1249,0.2835,0.476,0.0223,0.2233,1,2.6361,98
Kepler-174 b,non-habitable,0.0893,0.0278,0.4685,0.4006,0.0138,0.8348,1,2.0287,88
Kepler-174 c,non-habitable,0.25,0.0196,0.2778,0.4485,0.0042,0.9222,1,1.4603,80
Kepler-174 d,psychroplanet,0.3318,0.0771,0.2549,0.2965,0.0397,0.831,1,1.7896,91
Kepler-176 b,non-habitable,0.3593,0.0378,0.2827,0.2135,0.1067,0.8825,1,1.7397,91
Kepler-179 b,non-habitable,0.0716,0.0911,0.5526,0.2759,0.0088,0.2936,1,2.5846,91
Kepler-179 c,non-habitable,0.3393,0.05,0.0968,0.4516,0.0623,0.9044,1,2.0293,92
Kepler-180 b,non-habitable,0.2893,0.1707,0.4993,0.0108,0.03,0.3727,1,1.8655,86
Kepler-181 b,non-habitable,0.2999,0.1237,0.3085,0.2196,0.0482,0.8392,1,1.8337,85
Kepler-181 c,non-habitable,0.2485,0.2579,0.2596,0.2182,0.0158,0.9837,1,2.1848,95
Kepler-183 b,non-habitable,0.3039,0.1824,0.3345,0.1326,0.0466,0.9145,1,2.3802,85
Kepler-183 c,non-habitable,0.2815,0.0734,0.2054,0.3725,0.0673,0.7073,1,2.3061,85
Kepler-184 b,non-habitable,0.2937,0.0164,0.2662,0.3848,0.0389,0.9626,1,2.6278,87
Kepler-184 c,non-habitable,0.2436,0.2012,0.2567,0.268,0.0304,0.5325,1,1.8638,101
Kepler-184 d,non-habitable,0.1426,0.2074,0.1815,0.4643,0.0041,0.5081,1,2.5553,85
Kepler-185 b,non-habitable,0.101,0.2897,0.3668,0.1265,0.116,0.9321,1,2.1445,80
Kepler-185 c,non-habitable,0.325,0.3739,0.2734,0.0225,0.0052,0.8989,1,1.7585,75
Kepler-186 b,non-habitable,0.2601,0.0866,0.3174,0.3128,0.0232,0.9439,1,1.3807,79
Kepler-186 c,non-habitable,0.2712,0.1449,0.2414,0.312,0.0305,0.9796,1,1.3386,82
Kepler-186 d,non-habitable,0.5406,0.1246,0.1609,0.0663,0.1076,0.7433,1,1.2631,87
Kepler-186 e,non-habitable,0.3969,0.1421,0.2584,0.2024,0.0002,0.3807,1,1.2469,86
Kepler-186 f,hypopsychroplanet,0.0359,0.0165,0.0818,0.3831,0.4827,0.929,1,1.6761,85
Kepler-187 b,non-habitable,0.0794,0.354,0.2815,0.2388,0.0462,0.9029,1,2.0163,92
Kepler-188 b,non-habitable,0.2809,0.1998,0.3651,0.1148,0.0393,0.8734,1,2.8626,89
Kepler-189 b,non-habitable,0.1636,0.3054,0.3224,0.2046,0.004,0.9368,1,1.5069,87
Kepler-189 c,non-habitable,0.1146,0.0189,0.2481,0.5787,0.0398,0.6002,1,2.4568,99
Kepler-190 b,non-habitable,0.106,0.1727,0.4922,0.1641,0.065,0.3255,1,2.1017,82
Kepler-190 c,non-habitable,0.1253,0.1934,0.582,0.0902,0.0092,0.3432,1,2.2896,78
Kepler-191 b,non-habitable,0.0279,0.256,0.2471,0.4305,0.0385,0.9639,1,1.4865,82
Kepler-191 c,non-habitable,0.1673,0.0107,0.353,0.4563,0.0127,0.8526,1,2.0122,87
Kepler-191 d,non-habitable,0.0992,0.2385,0.5651,0.0812,0.0161,0.2621,1,2.3625,104
Kepler-193 b,non-habitable,0.0611,0.1571,0.6516,0.1108,0.0193,0.6408,1,2.8634,98
Kepler-194 b,non-habitable,0.1717,0.0221,0.4361,0.3434,0.0267,0.6377,1,2.9113,100
Kepler-194 d,non-habitable,0.2249,0.2289,0.2079,0.2293,0.109,0.9942,1,2.0125,86
Kepler-195 b,non-habitable,0.2705,0.1074,0.2799,0.3377,0.0046,0.6285,1,2.2216,92
Kepler-195 c,non-habitable,0.2703,0.025,0.3136,0.332,0.0591,0.7741,1,1.4977,75
Kepler-196 b,non-habitable,0.191,0.0067,0.5715,0.2037,0.0272,0.3001,1,1.8317,78
Kepler-196 c,non-habitable,0.2495,0.0531,0.2197,0.3559,0.1218,0.8738,1,1.9059,87
Kepler-197 b,non-habitable,0.2461,0.1366,0.4196,0.1943,0.0034,0.6106,1,2.0972,87
Kepler-197 c,non-habitable,0.0082,0.2115,0.165,0.1258,0.4894,0.8579,1,3.771,95
Kepler-197 d,non-habitable,0.1095,0.1247,0.4365,0.1202,0.2091,0.4893,1,1.9638,85
Kepler-197 e,non-habitable,0.0584,0.0737,0.3802,0.1008,0.3869,0.8559,1,9.0259,101
Kepler-198 c,non-habitable,0.1956,0.036,0.2453,0.4133,0.1099,0.6587,1,2.1482,80
Kepler-198 d,non-habitable,0.3223,0.1179,0.4823,0.0248,0.0528,0.686,1,3.0684,90
Kepler-200 b,non-habitable,0.1036,0.1852,0.5291,0.0578,0.1242,0.9564,1,2.2649,97
Kepler-200 c,non-habitable,0.1831,0.2078,0.3495,0.1435,0.1162,0.5312,1,1.5398,81
Kepler-201 b,non-habitable,0.3098,0.1342,0.1297,0.3561,0.0702,0.9973,1,2.453,97
Kepler-202 b,non-habitable,0.238,0.3272,0.1457,0.2283,0.0609,0.9993,1,1.5503,85
Kepler-202 c,non-habitable,0.2466,0.0907,0.4038,0.2341,0.0247,0.3165,1,1.6971,96
Kepler-203 c,non-habitable,0.1862,0.1791,0.2925,0.3384,0.0037,0.9561,1,2.9994,87
Kepler-203 d,non-habitable,0.1012,0.2141,0.3557,0.2647,0.0644,0.4999,1,1.6392,98
Kepler-204 c,non-habitable,0.0582,0.223,0.3494,0.3103,0.0591,0.5942,1,1.7485,92
Kepler-205 b,non-habitable,0.2588,0.2356,0.2601,0.2164,0.0291,0.8371,1,1.6882,93
Kepler-205 c,non-habitable,0.2371,0.1665,0.188,0.3042,0.1041,0.9498,1,1.3727,74
Kepler-206 b,non-habitable,0.3934,0.0064,0.2066,0.2824,0.1112,0.8876,1,1.4934,88
Kepler-206 c,non-habitable,0.3263,0.0477,0.3781,0.1803,0.0676,0.5959,1,1.9924,86
Kepler-206 d,non-habitable,0.378,0.1797,0.2978,0.0706,0.0739,0.9326,1,1.4263,83
Kepler-207 b,non-habitable,0.155,0.0605,0.3829,0.3772,0.0244,0.8845,1,3.4279,91
Kepler-207 c,non-habitable,0.052,0.1266,0.4604,0.087,0.274,0.7199,1,2.4489,86
Kepler-208 b,non-habitable,0.3727,0.0744,0.3955,0.0398,0.1175,0.9031,1,2.5536,89
Kepler-208 c,non-habitable,0.2397,0.033,0.4395,0.2681,0.0196,0.4621,1,2.2362,86
Kepler-208 d,non-habitable,0.2888,0.1667,0.3616,0.1716,0.0113,0.693,1,1.844,100
Kepler-208 e,non-habitable,0.1521,0.3423,0.3735,0.0744,0.0576,0.7731,1,1.756,92
Kepler-209 b,non-habitable,0.4232,0.2346,0.0938,0.2434,0.0051,0.2097,1,2.1283,91
Kepler-211 b,non-habitable,0.2089,0.208,0.4056,0.1414,0.0361,0.4896,1,1.7786,86
Kepler-211 c,non-habitable,0.2189,0.2615,0.3437,0.176,0.0,0.2415,1,1.6294,94
Kepler-212 b,non-habitable,0.1915,0.2883,0.3301,0.0589,0.1312,0.8952,1,1.4942,85
Kepler-213 b,non-habitable,0.0241,0.1717,0.4078,0.377,0.0194,0.5473,1,2.6841,94
Kepler-213 c,non-habitable,0.0174,0.2774,0.6789,0.0217,0.0046,0.9761,1,3.3593,88
Kepler-214 c,non-habitable,0.1761,0.3054,0.233,0.2769,0.0085,0.9813,1,2.1054,88
Kepler-215 b,non-habitable,0.3302,0.0166,0.5338,0.0191,0.1004,0.9303,1,2.2768,82
Kepler-215 c,non-habitable,0.373,0.1811,0.2304,0.2099,0.0056,0.3207,1,1.8416,92
Kepler-215 d,non-habitable,0.2382,0.1708,0.244,0.338,0.009,0.413,1,2.3491,82
Kepler-215 e,non-habitable,0.2412,0.0639,0.2641,0.422,0.0087,0.6182,1,1.7301,82
Kepler-216 b,non-habitable,0.0611,0.0531,0.0039,0.8016,0.0802,0.9777,1,2.5936,80
Kepler-217 b,non-habitable,0.0407,0.0048,0.2572,0.6134,0.0839,0.9565,1,3.0497,97
Kepler-217 c,non-habitable,0.0862,0.3156,0.3555,0.2066,0.0361,0.456,1,2.2262,96
Kepler-218 b,non-habitable,0.0672,0.1039,0.386,0.3158,0.1271,0.824,1,2.1706,88
Kepler-220 b,non-habitable,0.2546,0.1544,0.4302,0.0047,0.1561,0.8024,1,1.4342,88
Kepler-220 c,non-habitable,0.2171,0.1466,0.5093,0.0217,0.1053,0.5128,1,1.4821,86
Kepler-220 d,non-habitable,0.0326,0.1742,0.6353,0.0381,0.1198,0.9484,1,1.1907,94
Kepler-220 e,non-habitable,0.0145,0.2654,0.6429,0.069,0.0082,0.3398,1,1.2083,88
Kepler-221 b,non-habitable,0.2804,0.1354,0.4772,0.0126,0.0943,0.5307,1,2.2027,91
Kepler-223 b,non-habitable,0.0472,0.4729,0.3922,0.0382,0.0495,0.684,1,1.9085,93
Kepler-223 c,non-habitable,0.1448,0.1535,0.2682,0.398,0.0354,0.3911,1,2.0678,93
Kepler-223 e,non-habitable,0.2483,0.0135,0.5149,0.1933,0.0301,0.7556,1,2.5057,89
Kepler-224 b,non-habitable,0.2486,0.0392,0.473,0.1659,0.0734,0.7665,1,2.1137,85
Kepler-224 d,non-habitable,0.0657,0.1966,0.1486,0.5461,0.043,0.8926,1,2.3099,85
Kepler-224 e,non-habitable,0.1081,0.1813,0.1874,0.5206,0.0027,0.3663,1,1.9333,89
Kepler-225 b,non-habitable,0.3623,0.1448,0.3698,0.1093,0.0138,0.2725,1,1.2755,84
Kepler-225 c,non-habitable,0.1421,0.285,0.2877,0.2804,0.0047,0.3531,1,1.5042,83
Kepler-226 b,non-habitable,0.1383,0.2417,0.3422,0.2698,0.0079,0.6733,1,2.0542,92
Kepler-226 c,non-habitable,0.2021,0.0226,0.4661,0.2702,0.039,0.5934,1,2.7067,95
Kepler-226 d,non-habitable,0.0153,0.2822,0.419,0.1167,0.1668,0.9019,1,1.5792,91
Kepler-228 b,non-habitable,0.323,0.0576,0.3246,0.2392,0.0557,0.5671,1,2.2308,82
Kepler-229 b,non-habitable,0.3002,0.2218,0.2026,0.2513,0.0241,0.9039,1,2.2026,95
Kepler-230 c,non-habitable,0.5829,0.1394,0.0472,0.2179,0.0126,0.195,1,1.8253,84
Kepler-231 b,non-habitable,0.2852,0.2216,0.0923,0.3832,0.0177,0.6471,1,1.5721,98
Kepler-231 c,non-habitable,0.3535,0.3487,0.0723,0.2029,0.0227,0.5525,1,1.5989,96
Kepler-233 b,non-habitable,0.2923,0.0985,0.2705,0.3299,0.0088,0.5609,1,2.611,94
Kepler-235 b,non-habitable,0.2568,0.2274,0.2432,0.2604,0.0122,0.4816,1,2.1938,102
Kepler-235 c,non-habitable,0.0354,0.2845,0.4861,0.1795,0.0145,0.9073,1,1.5138,90
Kepler-235 d,non-habitable,0.3396,0.1627,0.1355,0.3329,0.0292,0.3859,1,1.7941,99
Kepler-235 e,non-habitable,0.0072,0.2809,0.2979,0.2964,0.1176,0.8949,1,1.5426,90
Kepler-236 b,non-habitable,0.3587,0.0714,0.3129,0.254,0.0029,0.6668,1,1.5918,88
Kepler-236 c,non-habitable,0.3761,0.1033,0.0251,0.3679,0.1276,0.7274,1,1.6508,91
Kepler-237 b,non-habitable,0.2674,0.0146,0.3407,0.3662,0.0111,0.767,1,1.8787,79
Kepler-237 c,non-habitable,0.3268,0.1449,0.3158,0.1777,0.0348,0.8459,1,2.0815,90
Kepler-238 b,non-habitable,0.3955,0.0895,0.3934,0.0462,0.0755,0.9267,1,2.6216,82
Kepler-238 c,non-habitable,0.2763,0.0459,0.4676,0.2021,0.0081,0.0677,1,2.5357,93
Kepler-238 f,non-habitable,0.0727,0.2005,0.3694,0.3557,0.0017,0.8922,1,2.2532,84
Kepler-239 b,non-habitable,0.1066,0.3262,0.2283,0.3061,0.0328,0.9792,1,2.1567,87
Kepler-240 b,non-habitable,0.0998,0.1636,0.3728,0.3016,0.0621,0.8866,1,1.8325,96
Kepler-240 c,non-habitable,0.1669,0.0289,0.3436,0.3123,0.1484,0.8688,1,2.0599,86
Kepler-241 b,non-habitable,0.264,0.1559,0.1705,0.2663,0.1434,0.9776,1,1.9729,91
Kepler-242 c,non-habitable,0.0995,0.0593,0.4573,0.3731,0.0108,0.6801,1,2.1537,94
Kepler-243 b,non-habitable,0.2952,0.2825,0.0932,0.2841,0.045,0.8101,1,2.3465,91
Kepler-243 c,non-habitable,0.1601,0.1188,0.2198,0.4084,0.0928,0.9088,1,1.8358,86
Kepler-244 c,non-habitable,0.2506,0.2081,0.2129,0.2938,0.0346,0.5569,1,1.9817,90
Kepler-244 d,non-habitable,0.2231,0.2352,0.1852,0.232,0.1244,0.8743,1,1.8989,94
Kepler-245 c,non-habitable,0.0858,0.1429,0.3671,0.3141,0.0902,0.5554,1,1.8268,83
Kepler-245 e,non-habitable,0.292,0.0388,0.3706,0.1752,0.1234,0.8746,1,2.1768,90
Kepler-246 b,non-habitable,0.0773,0.0712,0.566,0.2767,0.0088,0.9061,1,2.9901,93
Kepler-246 c,non-habitable,0.2996,0.1804,0.3517,0.1303,0.038,0.5297,1,1.6137,87
Kepler-247 b,non-habitable,0.0858,0.201,0.3729,0.1871,0.1532,0.6519,1,1.758,85
Kepler-249 b,non-habitable,0.0122,0.3102,0.4423,0.2116,0.0237,0.6346,1,1.3923,80
Kepler-249 c,non-habitable,0.3022,0.1147,0.3971,0.1625,0.0235,0.8112,1,1.4935,85
Kepler-249 d,non-habitable,0.0343,0.1809,0.3409,0.4307,0.0132,0.5532,1,1.3834,97
Kepler-250 b,non-habitable,0.1166,0.4203,0.3436,0.0362,0.0833,0.8595,1,1.6413,100
Kepler-250 c,non-habitable,0.0312,0.1228,0.5015,0.27,0.0745,0.7989,1,2.3892,88
Kepler-250 d,non-habitable,0.1302,0.0455,0.319,0.409,0.0963,0.9693,1,2.083,91
