Name,Cls,A,B,CDHSi,G,D,CDHSs,CDHS,Inn,Sur
Kepler-277 c,non-habitable,0.2112,0.7888,3.36,0.5683,0.4317,4.46,3.371,71,65
Kepler-279 c,non-habitable,0.3447,0.6553,4.31,0.9954,0.0046,3.55,4.3024,69,64
Kepler-279 d,non-habitable,0.9378,0.0622,3.1,0.4808,0.5192,3.65,3.1055,76,64
Kepler-280 b,non-habitable,0.8297,0.1703,1.44,0.5897,0.4103,1.45,1.4401,58,55
Kepler-280 c,non-habitable,0.9775,0.0225,2.0,0.1948,0.8052,2.28,2.0028,52,64
Kepler-282 b,non-habitable,0.0471,0.9529,1.01,0.0,0.0,1.0,1.0099,42,63
Kepler-282 c,non-habitable,0.4175,0.5825,1.2,0.6936,0.3064,1.15,1.1995,66,54
Kepler-282 d,non-habitable,0.9667,0.0333,2.46,0.109,0.891,5.13,2.4867,73,63
Kepler-282 e,non-habitable,0.0738,0.9262,3.1,0.971,0.029,4.44,3.1134,66,69
Kepler-283 b,non-habitable,0.3914,0.6086,2.13,0.218,0.782,2.5,2.1337,58,53
Kepler-283 c,mesoplanet,0.4684,0.5316,1.81,0.9112,0.0888,1.97,1.8116,62,66
Kepler-284 b,non-habitable,0.3615,0.6385,2.24,0.4995,0.5005,2.71,2.2447,66,72
Kepler-285 b,non-habitable,0.983,0.017,1.34,0.8167,0.1833,1.33,1.3399,54,54
Kepler-285 c,non-habitable,0.4938,0.5062,1.12,0.3952,0.6048,1.06,1.1194,34,45
Kepler-286 b,non-habitable,0.2015,0.7985,1.24,0.087,0.913,1.21,1.2397,45,40
Kepler-286 c,non-habitable,0.2394,0.7606,1.37,0.8712,0.1288,1.35,1.3698,54,58
Kepler-286 d,non-habitable,0.9062,0.0938,1.33,0.8831,0.1169,1.31,1.3298,60,59
Kepler-286 e,non-habitable,0.7713,0.2287,1.77,0.7213,0.2787,1.9,1.7713,63,61
Kepler-287 b,non-habitable,0.0671,0.9329,2.33,0.2686,0.7314,2.89,2.3356,52,47
Kepler-288 b,non-habitable,0.0286,0.9714,1.67,0.8686,0.1314,1.76,1.6709,55,57
Kepler-289 b,non-habitable,0.565,0.435,2.15,0.1675,0.8325,1.84,2.1469,55,51
