Name,Cls,A,B,CDHSi,G,D,CDHSs,CDHS,Inn,Sur
Kepler-387 b,non-habitable,0.9647,0.0353,1.03,0.0,0.0,1.0,1.0297,42,60
Kepler-387 c,non-habitable,0.0,0.0,1.0,0.0,0.0,1.0,1.0,67,61
Kepler-388 b,non-habitable,0.0,0.0,1.0,0.0,0.0,1.0,1.0,52,66
Kepler-388 c,non-habitable,0.0,0.0,1.0,0.0,0.0,1.0,1.0,71,62
Kepler-389 b,non-habitable,0.5961,0.4039,1.51,0.1019,0.8981,1.54,1.5103,53,54
Kepler-389 c,non-habitable,0.8085,0.1915,1.46,0.1427,0.8573,1.47,1.4601,59,41
Kepler-390 b,non-habitable,0.0,0.0,1.0,0.0,0.0,1.0,1.0,63,65
Kepler-390 c,non-habitable,0.0,0.0,1.0,0.0,0.0,1.0,1.0,63,68
Kepler-392 b,non-habitable,0.0222,0.797,1.0,0.0,0.0,1.0,1.0,0,57
Kepler-392 c,non-habitable,0.8948,0.1052,1.1,0.8365,0.1635,1.04,1.0994,57,43
Kepler-393 b,non-habitable,0.8717,0.1283,1.29,0.6941,0.3059,1.26,1.2897,51,52
Kepler-393 c,non-habitable,0.9825,0.0175,1.33,0.2378,0.7622,1.31,1.3298,51,48
Kepler-394 b,non-habitable,0.6577,0.3423,1.6,0.5666,0.4334,1.66,1.6006,55,59
Kepler-394 c,non-habitable,0.8384,0.1616,1.66,0.3887,0.6113,1.74,1.6608,64,59
Kepler-395 b,non-habitable,0.6377,0.3623,1.03,0.0,0.0,1.0,1.0297,37,58
Kepler-395 c,non-habitable,0.1571,0.8429,1.32,0.33,0.67,1.3,1.3198,58,42
Kepler-396 b,non-habitable,0.9977,0.0023,3.47,0.525,0.475,4.49,3.4802,61,58
Kepler-397 b,non-habitable,0.2584,0.7416,2.45,0.7718,0.2282,3.17,2.4572,64,57
Kepler-398 b,non-habitable,0.0,0.0,1.0,0.0,0.0,1.0,1.0,64,66
Kepler-398 c,non-habitable,0.4779,0.5221,1.01,0.0,0.0,1.0,1.0099,37,51
Kepler-399 b,non-habitable,0.0,0.0,1.0,0.0,0.0,1.0,1.0,65,73
Kepler-399 c,non-habitable,0.0333,0.9667,1.43,0.0952,0.9048,1.44,1.4301,60,55
Kepler-399 d,non-habitable,0.0819,0.9181,1.89,0.631,0.369,2.09,1.892,37,58
Kepler-400 b,non-habitable,0.6454,0.3546,1.65,0.1018,0.8982,1.72,1.6507,66,65
Kepler-400 c,non-habitable,0.148,0.852,1.49,0.7666,0.2334,1.51,1.4902,56,66
Kepler-401 b,non-habitable,0.5407,0.4593,1.71,0.1198,0.8802,1.82,1.7111,59,53
Kepler-401 c,non-habitable,0.5944,0.4056,2.15,0.9615,0.0385,2.54,2.1539,50,56
Kepler-402 b,non-habitable,0.0068,0.9932,1.22,0.6235,0.3765,1.18,1.2196,48,55
Kepler-402 c,non-habitable,0.172,0.828,1.56,0.0427,0.9573,1.6,1.5604,54,53
Kepler-402 d,non-habitable,0.3873,0.6127,1.38,0.8066,0.1934,1.37,1.3799,58,47
Kepler-402 e,non-habitable,0.8424,0.1576,1.46,0.9677,0.0323,1.47,1.4601,63,49
Kepler-403 b,non-habitable,0.6239,0.3761,1.25,0.2911,0.7089,1.22,1.2497,58,49
Kepler-403 c,non-habitable,0.3424,0.6576,1.75,0.1055,0.8945,1.87,1.7512,58,52
Kepler-404 b,non-habitable,0.1498,0.8502,1.27,0.072,0.928,1.23,1.2696,57,47
Kepler-404 c,non-habitable,0.6756,0.3244,1.71,0.533,0.467,1.82,1.7111,53,56
Kepler-405 b,non-habitable,0.7586,0.2414,2.08,0.8279,0.1721,2.41,2.0833,56,54
Kepler-406 b,non-habitable,0.8456,0.1544,1.43,0.6097,0.3903,2.11,1.4368,49,59
Kepler-406 c,non-habitable,0.0,0.0,1.0,0.2993,0.7007,1.78,1.0078,66,66
Kepler-408 b,non-habitable,0.0,0.0,1.0,0.8251,0.1749,2.79,1.0179,69,56
Kepler-409 b,non-habitable,0.3034,0.6966,1.19,0.9044,0.0956,4.3,1.2211,45,61
Kepler-411 b,non-habitable,0.2354,0.7646,1.88,0.6197,0.3803,2.08,1.882,56,63
Kepler-413(AB) b,non-habitable,0.0636,0.9364,4.34,0.7364,0.2636,3.93,4.3359,61,78
Kepler-431 b,non-habitable,0.0,0.0,1.0,0.0,0.0,1.0,1.0,70,75
Kepler-431 c,non-habitable,0.0,0.0,1.0,0.0,0.0,1.0,1.0,74,66
Kepler-431 d,non-habitable,0.9514,0.0486,1.11,0.3905,0.6095,1.05,1.1094,47,42
Kepler-436 c,non-habitable,0.567,0.433,2.33,0.3915,0.6085,2.89,2.3356,66,61
Kepler-437 b,non-habitable,0.9388,0.0612,2.14,0.9452,0.0548,2.52,2.1438,54,79
Kepler-438 b,mesoplanet,0.3708,0.6292,1.12,0.5782,0.4218,1.06,1.1194,52,50
Kepler-439 b,non-habitable,0.7305,0.2695,2.24,0.922,0.078,2.71,2.2447,60,64
Kepler-440 b,mesoplanet,0.5652,0.4348,1.86,0.8544,0.1456,2.04,1.8618,49,61
Kepler-441 b,non-habitable,0.3847,0.6153,1.64,0.8218,0.1782,1.71,1.6407,51,43
Kepler-442 b,psychroplanet,0.4783,0.5217,1.34,0.1632,0.8368,1.32,1.3398,54,63
Kepler-443 b,mesoplanet,0.7189,0.2811,2.33,0.5088,0.4912,2.9,2.3357,72,62
Kepler-444 b,non-habitable,0.0,0.0,1.0,0.0,0.0,1.0,1.0,66,68
Kepler-444 c,non-habitable,0.0,0.0,1.0,0.0,0.0,1.0,1.0,69,79
Kepler-444 d,non-habitable,0.0,0.0,1.0,0.0,0.0,1.0,1.0,71,65
Kepler-444 e,non-habitable,0.0,0.0,1.0,0.0,0.0,1.0,1.0,56,73
Kepler-444 f,non-habitable,0.0,0.0,1.0,0.0,0.0,1.0,1.0,67,68
Kepler-445 b,non-habitable,0.9043,0.0957,1.58,0.3382,0.6618,2.01,1.5843,55,56
Kepler-445 c,non-habitable,0.9775,0.0225,2.51,0.7592,0.2408,1.85,2.5034,69,62
Kepler-445 d,non-habitable,0.6009,0.3991,1.25,0.536,0.464,1.67,1.2542,53,37
Kepler-446 b,non-habitable,0.9,0.1,1.5,0.4181,0.5819,1.72,1.5022,49,51
Kepler-446 c,non-habitable,0.1516,0.8484,1.1,0.9641,0.0359,1.61,1.1051,47,53
Kepler-446 d,non-habitable,0.2861,0.7139,1.34,0.5628,0.4372,1.54,1.342,52,64
Kepler-449 b,non-habitable,0.4593,0.5407,2.05,0.0097,0.9903,2.36,2.0531,60,66
Kepler-450 d,non-habitable,0.0,0.0,1.0,0.0,0.0,1.0,1.0,67,68
Kepler-452 b,mesoplanet,0.1306,0.8694,1.63,0.7058,0.2942,1.7,1.6307,62,61
Kepler-454 b,non-habitable,0.0203,0.9797,2.36,0.1777,0.8223,1.7,2.3534,70,53
Kepler-457 b,non-habitable,0.6066,0.3934,2.35,0.8821,0.1179,2.94,2.3559,60,58
Kepler-457 c,non-habitable,0.9437,0.0563,2.35,0.2494,0.7506,2.94,2.3559,63,67
Kepler-466 c,non-habitable,0.8388,0.1612,1.25,0.9376,0.0624,1.22,1.2497,49,47
Kepler-467 b,non-habitable,0.3244,0.6756,2.25,0.2599,0.7401,2.73,2.2548,57,58
Kepler-475 b,non-habitable,0.7872,0.2128,2.49,0.4548,0.5452,3.25,2.4976,54,59
Kepler-477 b,non-habitable,0.2991,0.7009,2.07,0.7523,0.2477,2.39,2.0732,52,50
Kepler-479 b,non-habitable,0.204,0.796,2.12,0.379,0.621,2.48,2.1236,48,62
Kepler-481 b,non-habitable,0.5959,0.4041,2.5,0.6528,0.3472,3.28,2.5078,62,61
Kepler-482 b,non-habitable,0.2461,0.7539,2.36,0.7194,0.2806,2.97,2.3661,65,66
Kepler-484 b,non-habitable,0.5299,0.4701,2.27,0.421,0.579,2.78,2.2751,69,48
Kepler-496 b,non-habitable,0.745,0.255,2.32,0.297,0.703,2.87,2.3255,53,70
Kepler-499 b,non-habitable,0.2879,0.7121,2.17,0.6087,0.3913,2.58,2.1741,58,54
Kepler-504 b,non-habitable,0.1049,0.8951,1.59,0.3857,0.6143,1.65,1.5906,63,56
Kepler-507 b,non-habitable,0.7422,0.2578,1.3,0.7096,0.2904,1.27,1.2997,61,50
Kepler-508 b,non-habitable,0.1663,0.8337,1.64,0.0989,0.9011,1.71,1.6407,48,48
Kepler-509 b,non-habitable,0.1216,0.8784,2.49,0.2205,0.7795,3.25,2.4976,54,68
Kepler-510 b,non-habitable,0.5483,0.4516,2.46,0.499,0.501,3.2,2.4674,50,61
Kepler-513 b,non-habitable,0.4424,0.5576,2.2,0.5724,0.4276,2.62,2.2042,55,45
Kepler-514 b,non-habitable,0.0223,0.9777,1.71,0.9024,0.0976,1.82,1.7111,62,64
Kepler-515 b,non-habitable,0.2801,0.7199,1.46,0.6821,0.3179,1.47,1.4601,49,50
Kepler-518 b,non-habitable,0.8586,0.1414,2.11,0.5687,0.4313,2.46,2.1135,59,67
Kepler-519 b,non-habitable,0.2121,0.7879,2.09,0.4376,0.5624,2.43,2.0934,57,58
Kepler-520 b,non-habitable,0.5202,0.4798,1.66,0.8192,0.1808,1.74,1.6608,71,57
Kepler-520 c,non-habitable,0.9296,0.0704,1.06,0.2497,0.6474,1.0,1.0594,45,0
Kepler-523 b,non-habitable,0.8237,0.1763,1.96,0.9294,0.0706,2.2,1.9624,64,64
Kepler-524 b,non-habitable,0.488,0.512,1.9,0.8188,0.1812,2.11,1.9021,58,59
Kepler-524 c,non-habitable,0.0,0.0,1.0,0.0,0.0,1.0,1.0,70,63
Kepler-526 b,non-habitable,0.6745,0.3255,1.99,0.2676,0.7324,2.26,1.9927,60,56
Kepler-528 b,non-habitable,0.8889,0.1111,2.08,0.601,0.399,2.41,2.0833,59,60
Kepler-529 b,non-habitable,0.359,0.641,1.86,0.2139,0.7861,2.04,1.8618,52,72
Kepler-529 c,non-habitable,0.6558,0.3442,1.99,0.3171,0.6829,2.26,1.9927,57,61
Kepler-534 b,non-habitable,0.1871,0.8129,2.24,0.3215,0.6785,2.71,2.2447,65,69
Kepler-535 b,non-habitable,0.8882,0.1118,2.36,0.5194,0.4806,2.97,2.3661,53,62
Kepler-537 b,non-habitable,0.525,0.475,1.41,0.7519,0.2481,1.41,1.41,58,42
Kepler-538 b,non-habitable,0.4372,0.5628,2.26,0.56,0.44,2.76,2.265,57,66
Kepler-539 c,non-habitable,0.9723,0.0277,1.35,0.7841,0.2159,1.33,1.3498,33,49
Kepler-542 b,non-habitable,0.055,0.945,1.57,0.6949,0.3051,1.62,1.5705,43,53
Kepler-543 b,non-habitable,0.4414,0.5586,2.5,0.9878,0.0122,3.28,2.5078,55,67
Kepler-544 b,non-habitable,0.7661,0.2339,2.12,0.6503,0.3497,2.48,2.1236,63,45
Kepler-556 b,non-habitable,0.4675,0.5325,2.24,0.2165,0.7835,2.71,2.2447,44,54
Kepler-558 b,non-habitable,0.9676,0.0324,2.36,0.1205,0.8795,2.97,2.3661,60,63
Kepler-560 b,non-habitable,0.1233,0.8767,1.71,0.4724,0.5276,1.82,1.7111,46,52
Kepler-566 b,non-habitable,0.6637,0.3363,2.15,0.2893,0.7107,2.54,2.1539,59,71
Kepler-567 b,non-habitable,0.178,0.822,2.25,0.0918,0.9082,2.73,2.2548,59,73
Kepler-568 b,non-habitable,0.919,0.081,2.26,0.6124,0.3876,2.76,2.265,40,64
Kepler-570 b,non-habitable,0.3041,0.6959,2.45,0.0559,0.9441,3.17,2.4572,53,64
Kepler-574 b,non-habitable,0.4271,0.5729,2.39,0.5643,0.4357,3.02,2.3963,46,61
Kepler-575 b,non-habitable,0.2781,0.7219,2.39,0.0997,0.9003,3.02,2.3963,58,57
Kepler-578 b,non-habitable,0.6006,0.3994,1.99,0.0765,0.9235,2.26,1.9927,67,61
Kepler-579 b,non-habitable,0.8275,0.1725,1.99,0.6612,0.3388,2.26,1.9927,58,52
Kepler-583 b,non-habitable,0.6942,0.3058,2.27,0.1503,0.8497,2.78,2.2751,47,67
Kepler-587 b,non-habitable,0.1284,0.8716,2.23,0.5363,0.4637,2.69,2.2346,47,65
Kepler-589 b,non-habitable,0.8574,0.1426,2.27,0.0626,0.9374,2.78,2.2751,53,61
Kepler-592 b,non-habitable,0.3314,0.6686,2.39,0.9142,0.0858,3.02,2.3963,53,60
Kepler-594 b,non-habitable,0.5574,0.4426,2.17,0.7534,0.2466,2.58,2.1741,59,63
Kepler-597 b,non-habitable,0.4803,0.5197,2.36,0.9931,0.0069,2.97,2.3661,57,55
Kepler-598 b,non-habitable,0.9836,0.0164,1.5,0.2131,0.7869,1.53,1.5003,42,63
Kepler-601 b,non-habitable,0.2269,0.7731,1.9,0.2029,0.7971,2.11,1.9021,61,58
Kepler-602 b,non-habitable,0.1462,0.8538,2.08,0.7138,0.2862,2.41,2.0833,47,60
Kepler-603 d,non-habitable,0.9418,0.0582,1.32,0.3283,0.6717,1.3,1.3198,57,57
Kepler-605 b,non-habitable,0.1467,0.8533,1.43,0.4194,0.5806,1.44,1.4301,44,42
Kepler-605 c,non-habitable,0.0,0.0,1.0,0.0,0.0,1.0,1.0,58,65
Kepler-607 b,non-habitable,0.0,0.0,1.0,0.0,0.0,1.0,1.0,67,66
Kepler-611 b,non-habitable,0.4567,0.5433,1.65,0.4004,0.5996,1.72,1.6507,59,59
Kepler-613 b,non-habitable,0.3991,0.6009,2.28,0.794,0.206,2.8,2.2852,46,62
Kepler-614 b,non-habitable,0.2974,0.7026,2.39,0.7925,0.2075,3.02,2.3963,57,48
Kepler-615 b,non-habitable,0.5016,0.4984,1.74,0.0506,0.9494,1.85,1.7411,65,60
Kepler-616 b,non-habitable,0.4851,0.5149,2.43,0.604,0.396,3.12,2.4369,51,67
Kepler-617 b,non-habitable,0.2763,0.7237,1.32,0.935,0.065,1.3,1.3198,47,57
Kepler-619 c,non-habitable,0.719,0.281,1.69,0.7827,0.2173,1.79,1.691,44,56
Kepler-621 b,non-habitable,0.9209,0.0791,2.3,0.5818,0.4182,2.82,2.3052,64,60
Kepler-622 b,non-habitable,0.4502,0.5498,2.13,0.8125,0.1875,2.5,2.1337,56,54
Kepler-624 b,non-habitable,0.2944,0.7056,2.31,0.7939,0.2061,2.85,2.3154,47,63
Kepler-625 b,non-habitable,0.9154,0.0846,1.99,0.1213,0.8787,2.26,1.9927,68,61
Kepler-625 c,non-habitable,0.9123,0.0877,1.05,0.0,0.0,1.0,1.0495,50,47
Kepler-626 b,non-habitable,0.8746,0.1254,2.28,0.5771,0.4229,2.8,2.2852,62,57
Kepler-629 b,non-habitable,0.5651,0.4349,1.38,0.2425,0.7575,1.37,1.3799,44,56
Kepler-632 b,non-habitable,0.6293,0.3707,2.21,0.8254,0.1746,2.64,2.2143,49,67
Kepler-633 b,non-habitable,0.085,0.915,1.62,0.1053,0.8947,1.69,1.6207,56,63
Kepler-634 b,non-habitable,0.04,0.96,1.89,0.9881,0.0119,2.09,1.892,56,63
Kepler-638 b,non-habitable,0.2647,0.7353,1.83,0.4359,0.5641,1.99,1.8316,57,60
Kepler-639 b,non-habitable,0.2556,0.7444,2.37,0.076,0.924,2.99,2.3762,59,64
Kepler-641 b,non-habitable,0.9116,0.0884,1.85,0.7131,0.2869,2.02,1.8517,62,54
Kepler-645 b,non-habitable,0.6109,0.3891,2.09,0.8759,0.1241,2.43,2.0934,46,49
Kepler-646 b,non-habitable,0.601,0.399,1.99,0.1105,0.8895,2.26,1.9927,55,59
Kepler-647 b,non-habitable,0.6352,0.3648,1.16,0.1696,0.8304,1.11,1.1595,63,49
Kepler-649 b,non-habitable,0.0787,0.9213,2.26,0.9429,0.057,2.76,2.265,66,49
Kepler-651 b,non-habitable,0.9773,0.0227,2.36,0.3188,0.6812,2.97,2.3661,54,71
Kepler-652 b,non-habitable,0.276,0.724,2.49,0.1312,0.8688,3.25,2.4976,56,63
Kepler-653 b,non-habitable,0.5153,0.4847,1.95,0.9751,0.0249,2.18,1.9523,66,59
Kepler-653 c,non-habitable,0.0,0.0,1.0,0.0,0.0,1.0,1.0,74,68
Kepler-654 b,non-habitable,0.2541,0.7459,2.07,0.5076,0.4924,2.39,2.0732,57,48
Kepler-658 b,non-habitable,0.7055,0.2945,1.62,0.3237,0.6763,1.69,1.6207,57,52
Kepler-659 b,non-habitable,0.5186,0.4814,2.5,0.1715,0.8285,3.28,2.5078,52,59
Kepler-662 b,non-habitable,0.0278,0.9722,2.17,0.965,0.035,2.58,2.1741,58,65
Kepler-666 b,non-habitable,0.9627,0.0373,2.4,0.4681,0.5319,3.04,2.4064,49,61
Kepler-672 b,non-habitable,0.7397,0.2603,2.5,0.5966,0.4034,3.28,2.5078,69,49
Kepler-674 b,non-habitable,0.8931,0.1069,1.69,0.7177,0.2823,1.79,1.691,50,44
Kepler-675 b,non-habitable,0.3016,0.6984,2.44,0.6687,0.3312,3.14,2.447,63,61
Kepler-680 b,non-habitable,0.0224,0.9776,2.42,0.2144,0.7856,3.09,2.4267,69,64
Kepler-683 b,non-habitable,0.2657,0.7343,1.97,0.8064,0.1936,2.22,1.9725,48,54
Kepler-691 b,non-habitable,0.5241,0.4759,2.08,0.7229,0.277,2.41,2.0833,76,65
Kepler-705 b,mesoplanet,0.241,0.759,2.11,0.5624,0.4376,2.46,2.1135,62,65
Kepler-707 b,non-habitable,0.6985,0.3015,1.33,0.3812,0.6188,1.31,1.3298,51,57
Kepler-710 b,non-habitable,0.3644,0.6356,1.88,0.859,0.141,2.08,1.882,42,60
Kepler-713 b,non-habitable,0.8051,0.1949,2.48,0.4522,0.5478,3.22,2.4874,58,63
Kepler-717 b,non-habitable,0.6443,0.3557,2.42,0.6148,0.3852,3.09,2.4267,49,66
Kepler-732 b,non-habitable,0.2194,0.7806,2.17,0.7453,0.2547,2.58,2.1741,60,69
Kepler-732 c,non-habitable,0.5842,0.4158,1.27,0.7473,0.2527,1.23,1.2696,58,49
Kepler-737 b,non-habitable,0.5907,0.4093,1.96,0.2892,0.7108,2.2,1.9624,55,55
Kepler-738 b,non-habitable,0.2149,0.7851,2.5,0.9186,0.0814,3.28,2.5078,52,53
Kepler-743 b,non-habitable,0.0218,0.9782,1.21,0.6773,0.3227,1.17,1.2096,52,55
Kepler-744 b,non-habitable,0.0014,0.9986,1.62,0.3517,0.6483,1.69,1.6207,52,56
Kepler-745 b,non-habitable,0.3476,0.6524,2.16,0.3573,0.6427,2.56,2.164,48,65
Kepler-746 b,non-habitable,0.7607,0.2393,1.11,0.6742,0.3258,1.05,1.1094,46,42
Kepler-750 c,non-habitable,0.7272,0.2728,1.62,0.914,0.086,1.69,1.6207,46,59
Kepler-751 b,non-habitable,0.2706,0.7294,2.45,0.7033,0.2967,3.17,2.4572,53,64
Kepler-753 b,non-habitable,0.83,0.17,1.9,0.8648,0.1352,2.11,1.9021,53,64
Kepler-754 b,non-habitable,0.9336,0.0664,2.0,0.9979,0.0021,2.28,2.0028,55,44
Kepler-755 b,non-habitable,0.1334,0.8666,1.76,0.6507,0.3493,1.89,1.7613,59,64
Kepler-755 c,non-habitable,0.6838,0.3162,1.25,0.2397,0.7603,1.22,1.2497,59,46
Kepler-756 b,non-habitable,0.6023,0.3977,1.12,0.6691,0.3309,1.06,1.1194,46,40
Kepler-757 b,non-habitable,0.8613,0.1387,1.36,0.2743,0.7257,1.34,1.3598,57,53
Kepler-758 b,non-habitable,0.8895,0.1105,2.48,0.3142,0.6858,3.22,2.4874,58,63
Kepler-758 c,non-habitable,0.1884,0.8116,1.69,0.5237,0.4763,1.79,1.691,58,44
Kepler-758 d,non-habitable,0.9473,0.0527,2.12,0.4672,0.5328,2.48,2.1236,58,67
Kepler-758 e,non-habitable,0.8223,0.1777,1.52,0.8128,0.1872,1.56,1.5204,56,50
Kepler-759 b,non-habitable,0.3744,0.6256,2.27,0.986,0.014,2.78,2.2751,46,59
Kepler-760 c,non-habitable,0.6405,0.3595,1.48,0.5044,0.4956,1.5,1.4802,57,54
Kepler-761 b,non-habitable,0.2513,0.7487,2.03,0.8342,0.1657,2.32,2.0329,59,67
Kepler-763 b,non-habitable,0.672,0.328,1.22,0.5453,0.4547,1.18,1.2196,45,54
Kepler-764 b,non-habitable,0.8263,0.1737,1.64,0.4284,0.5716,1.71,1.6407,62,54
Kepler-765 b,non-habitable,0.7718,0.2282,2.43,0.3908,0.6092,3.12,2.4369,63,62
Kepler-768 b,non-habitable,0.8441,0.1559,1.79,0.2247,0.7753,1.94,1.7915,51,53
Kepler-769 c,non-habitable,0.2299,0.7701,1.79,0.7829,0.2171,1.94,1.7915,54,53
Kepler-770 b,non-habitable,0.3402,0.6598,2.3,0.9578,0.0422,2.82,2.3052,58,68
Kepler-770 c,non-habitable,0.3885,0.6115,1.2,0.9401,0.0599,1.15,1.1995,48,52
Kepler-770 d,non-habitable,0.6907,0.3093,1.4,0.2815,0.7185,1.4,1.4,56,59
Kepler-771 b,non-habitable,0.619,0.381,1.81,0.4557,0.5443,1.97,1.8116,60,65
Kepler-772 b,non-habitable,0.0705,0.9295,1.81,0.7232,0.2768,1.97,1.8116,54,65
Kepler-773 b,non-habitable,0.8424,0.1576,1.43,0.455,0.545,1.44,1.4301,50,52
Kepler-775 b,non-habitable,0.6885,0.3115,1.19,0.9469,0.0531,1.14,1.1895,61,48
Kepler-776 b,non-habitable,0.3709,0.6291,1.28,0.585,0.415,1.25,1.2797,52,62
Kepler-777 b,non-habitable,0.1625,0.8375,1.47,0.9373,0.0627,1.48,1.4701,59,54
Kepler-778 b,non-habitable,0.4435,0.5565,1.68,0.1496,0.8504,1.77,1.6809,54,56
Kepler-779 b,non-habitable,0.0,0.0,1.0,0.0,0.0,1.0,1.0,69,59
Kepler-780 b,non-habitable,0.0,0.0,1.0,0.0,0.0,1.0,1.0,62,67
Kepler-783 b,non-habitable,0.0,0.0,1.0,0.0,0.0,1.0,1.0,60,70
Kepler-784 b,non-habitable,0.5596,0.4404,1.58,0.2064,0.7936,1.63,1.5805,67,45
Kepler-786 b,non-habitable,0.1446,0.8554,2.43,0.1529,0.8471,3.12,2.4369,59,67
Kepler-787 b,non-habitable,0.3374,0.6626,1.28,0.856,0.144,1.25,1.2797,40,43
Kepler-789 b,non-habitable,0.7889,0.2111,2.12,0.4173,0.5827,2.48,2.1236,58,55
Kepler-790 b,non-habitable,0.148,0.852,2.17,0.6071,0.3929,2.58,2.1741,56,60
Kepler-792 b,non-habitable,0.818,0.182,1.96,0.0207,0.9793,2.2,1.9624,54,61
Kepler-793 b,non-habitable,0.5707,0.4293,1.37,0.7382,0.2618,1.35,1.3698,39,43
Kepler-794 b,non-habitable,0.0714,0.9286,2.11,0.5361,0.4639,2.46,2.1135,65,62
Kepler-795 b,non-habitable,0.7504,0.2496,1.68,0.6103,0.3897,1.77,1.6809,57,63
Kepler-796 b,non-habitable,0.1303,0.8697,1.3,0.6361,0.3639,1.27,1.2997,48,51
Kepler-797 b,non-habitable,0.3545,0.6455,2.17,0.4213,0.5787,2.58,2.1741,66,54
Kepler-798 b,non-habitable,0.614,0.386,2.39,0.4523,0.5477,3.02,2.3963,36,66
Kepler-801 b,non-habitable,0.0422,0.9578,1.99,0.6205,0.3795,2.26,1.9927,59,61
Kepler-804 b,non-habitable,0.379,0.621,1.94,0.4946,0.5054,2.17,1.9423,60,64
Kepler-804 c,non-habitable,0.0799,0.9201,1.14,0.9451,0.0549,1.09,1.1395,58,47
Kepler-806 b,non-habitable,0.7338,0.2662,1.14,0.5241,0.4759,1.09,1.1395,67,47
Kepler-808 b,non-habitable,0.5821,0.4179,1.46,0.8464,0.1536,1.47,1.4601,47,61
Kepler-810 b,non-habitable,0.8657,0.1343,1.93,0.0414,0.9586,2.15,1.9322,63,59
Kepler-813 b,non-habitable,0.2136,0.7864,2.14,0.516,0.484,2.52,2.1438,59,71
Kepler-814 b,non-habitable,0.7541,0.2459,2.12,0.959,0.041,2.48,2.1236,58,57
Kepler-821 b,non-habitable,0.1522,0.8478,1.31,0.236,0.764,1.29,1.3098,63,54
Kepler-822 b,non-habitable,0.006,0.994,1.77,0.7774,0.2226,1.9,1.7713,60,55
Kepler-823 b,non-habitable,0.0656,0.9344,1.57,0.5997,0.4003,1.62,1.5705,65,57
Kepler-824 b,non-habitable,0.8726,0.1274,1.87,0.7211,0.2789,2.06,1.8719,50,56
Kepler-825 b,non-habitable,0.8973,0.1027,1.52,0.0294,0.9706,1.56,1.5204,54,49
Kepler-825 c,non-habitable,0.9615,0.0385,1.84,0.2795,0.7205,2.0,1.8416,67,62
Kepler-826 b,non-habitable,0.8796,0.1204,1.25,0.2431,0.7569,1.22,1.2497,48,53
Kepler-828 b,non-habitable,0.1517,0.8483,1.51,0.1295,0.8705,1.54,1.5103,52,52
Kepler-829 b,non-habitable,0.3912,0.6088,2.11,0.7673,0.2327,2.46,2.1135,49,58
Kepler-830 b,non-habitable,0.8751,0.1249,1.7,0.6315,0.3685,1.8,1.701,61,65
Kepler-831 b,non-habitable,0.7217,0.2783,1.27,0.0384,0.9616,1.23,1.2696,58,54
Kepler-832 b,non-habitable,0.3207,0.6793,2.06,0.0589,0.9411,2.37,2.0631,68,59
Kepler-833 b,non-habitable,0.414,0.586,2.02,0.6883,0.3117,2.3,2.0228,60,63
Kepler-834 b,non-habitable,0.471,0.529,2.02,0.7189,0.2811,2.3,2.0228,54,62
Kepler-842 b,non-habitable,0.379,0.621,1.6,0.8565,0.1435,1.66,1.6006,60,53
Kepler-844 b,non-habitable,0.222,0.778,1.68,0.886,0.114,1.77,1.6809,53,60
Kepler-845 b,non-habitable,0.3345,0.6655,2.04,0.4193,0.5807,2.34,2.043,50,60
Kepler-846 b,non-habitable,0.8696,0.1304,2.48,0.8064,0.1936,3.22,2.4874,55,46
Kepler-847 b,non-habitable,0.224,0.776,1.18,0.3395,0.6605,1.13,1.1795,62,46
Kepler-848 b,non-habitable,0.6971,0.3029,1.7,0.3986,0.6014,1.8,1.701,55,71
Kepler-850 b,non-habitable,0.8144,0.1856,1.78,0.5803,0.4197,1.92,1.7814,68,63
Kepler-851 b,non-habitable,0.3583,0.6417,1.68,0.6702,0.3298,1.77,1.6809,54,53
Kepler-853 b,non-habitable,0.785,0.215,1.69,0.2258,0.7742,1.79,1.691,52,52
Kepler-861 b,non-habitable,0.3891,0.6109,2.27,0.1955,0.8045,2.78,2.2751,56,53
Kepler-862 b,non-habitable,0.4073,0.5927,2.21,0.7951,0.2049,2.64,2.2143,67,60
Kepler-864 b,non-habitable,0.8981,0.1019,2.4,0.0748,0.9252,3.04,2.4064,56,67
Kepler-865 b,non-habitable,0.0829,0.9171,2.49,0.1632,0.8368,3.25,2.4976,67,76
Kepler-866 b,non-habitable,0.0243,0.9757,1.62,0.3462,0.6538,1.69,1.6207,54,48
Kepler-868 b,non-habitable,0.6731,0.3269,2.05,0.0547,0.9453,2.36,2.0531,52,44
Kepler-872 b,non-habitable,0.1892,0.8108,1.99,0.8953,0.1047,2.26,1.9927,59,49
Kepler-876 b,non-habitable,0.0914,0.9086,1.43,0.716,0.284,1.44,1.4301,48,52
Kepler-877 b,non-habitable,0.1161,0.8839,2.12,0.3963,0.6037,2.48,2.1236,70,69
Kepler-878 b,non-habitable,0.7708,0.2292,1.93,0.5594,0.4406,2.15,1.9322,53,63
Kepler-881 b,non-habitable,0.9073,0.0927,1.78,0.0183,0.9817,1.92,1.7814,64,41
Kepler-882 b,non-habitable,0.1268,0.8732,1.23,0.1706,0.8294,1.19,1.2296,39,53
Kepler-883 b,non-habitable,0.9632,0.0368,1.78,0.418,0.582,1.92,1.7814,57,66
Kepler-884 b,non-habitable,0.4884,0.5116,1.23,0.5923,0.4077,1.19,1.2296,53,42
